"Team","Wins","Losses","Distribution"
"Oklahoma","12","2","0.0171623772817982"
"Louisiana State","13","1","0.0159381882118238"
"Kansas State","11","4","0.0158655972672013"
"Miami (OH)","13","1","0.0140696208768911"
"Georgia","11","3","0.0136218487462239"
"Florida State","10","3","0.0131732691833592"
"Michigan","10","3","0.0129885962372506"
"Southern California","12","1","0.0126153008832083"
"Texas","10","3","0.0123797613089882"
"Boise State","13","1","0.0120474284923638"
"Miami (FL)","11","2","0.0115691278334967"
"Florida","8","5","0.0114786898845389"
"Iowa","10","3","0.0113080965953811"
"California","8","6","0.0112063688038725"
"Minnesota","10","3","0.0111147403353167"
"Maryland","10","3","0.0109382632450157"
"Tennessee","10","3","0.0109043607421719"
"Arkansas","9","4","0.0108085836503482"
"Clemson","9","4","0.010746686364903"
"Mississippi","10","3","0.0106657108765155"
"Virginia Tech","8","5","0.0105179045143532"
"Purdue","9","4","0.0103827971066115"
"Virginia","8","5","0.0102533188582365"
"Ohio State","11","2","0.0102037532626331"
"Washington State","10","3","0.0101887201856253"
"Auburn","8","5","0.0101820575952344"
"Alabama","4","9","0.0100061768733381"
"North Carolina State","8","5","0.00998258030524703"
"West Virginia","8","5","0.00996926841196031"
"Nebraska","10","3","0.00989314294865546"
"Missouri","8","5","0.0098716875291069"
"Bowling Green State","11","3","0.00985840092997281"
"Wisconsin","7","6","0.00972058136118913"
"Michigan State","8","5","0.00969286258380054"
"Oklahoma State","9","4","0.00951051835758456"
"Texas Tech","8","5","0.00950852661813453"
"New Mexico","8","5","0.00948012831929458"
"Colorado State","7","6","0.00945127124101775"
"Pittsburgh","8","5","0.00930972025199356"
"Utah","10","2","0.0088728208506468"
"Marshall","8","4","0.0088160565386597"
"Boston College","8","5","0.00879224060100125"
"Georgia Tech","7","6","0.0087915559867988"
"Wake Forest","5","7","0.00863618885981062"
"Connecticut","9","3","0.00854118364350106"
"Oregon State","8","5","0.00847767680104098"
"South Carolina","5","7","0.00844813756005898"
"Southern Mississippi","9","4","0.00841208809180287"
"Air Force","7","5","0.00839274899582458"
"Navy","8","5","0.0083179364826947"
"Memphis","9","4","0.00830260002361954"
"Northern Illinois","10","2","0.00817442318802936"
"Oregon","8","5","0.00816972750639887"
"Penn State","3","9","0.00813185693757669"
"Hawaii","9","5","0.00803174257820344"
"Louisville","9","4","0.00801504924386018"
"Texas Christian","11","2","0.008013633357768"
"Toledo","8","4","0.00794419676732904"
"Colorado","5","7","0.00791851763562545"
"Nevada-Las Vegas","6","6","0.00790964047910093"
"San Diego State","6","6","0.00783600461469468"
"Fresno State","9","5","0.00782147755669343"
"UCLA","6","7","0.00780891885819562"
"Kentucky","4","8","0.00778683655377011"
"Washington","6","6","0.00778484307114594"
"North Texas","9","4","0.00777968862609532"
"Northwestern","6","7","0.00772077807472133"
"Notre Dame","5","7","0.00771454676857671"
"Rutgers","5","7","0.00768020000741775"
"Arizona State","5","7","0.00757369064703909"
"Kansas","6","7","0.0075632931939219"
"Cincinnati","5","7","0.00742723917805545"
"Syracuse","6","6","0.00734812151529826"
"Akron","7","5","0.00722303322636628"
"Brigham Young","4","8","0.0072190882873045"
"Tulsa","8","5","0.00712848232527091"
"Wyoming","4","8","0.00712184865307191"
"Alabama-Birmingham","5","7","0.00694925579429223"
"North Carolina","2","10","0.00676104162053815"
"Duke","4","8","0.00660870959944145"
"Middle Tennessee State","4","8","0.0065813907572271"
"Kent State","5","7","0.00657243580029753"
"South Florida","7","4","0.00650289711833719"
"Houston","7","6","0.00643130433849819"
"Temple","1","11","0.0064288176999317"
"Troy","6","6","0.00642372718345871"
"Vanderbilt","2","10","0.00640379244044655"
"Louisiana Tech","5","7","0.00639223581299909"
"Western Michigan","5","7","0.00638729915513299"
"Utah State","3","9","0.00625002533285784"
"Texas A&M","4","8","0.00622865511772107"
"Nevada","6","6","0.00621498272237021"
"Illinois","1","11","0.00595241102130598"
"Rice","5","7","0.00594537852034833"
"Tulane","5","7","0.00593850823434782"
"Idaho","3","9","0.00589828292867578"
"Stanford","4","7","0.00579402029384962"
"Ohio","2","10","0.00578505446672917"
"Ball State","4","8","0.00574920490141097"
"New Mexico State","3","9","0.00572753860775778"
"Central Florida","3","9","0.00562509943323233"
"Indiana","2","10","0.00557519548525514"
"Mississippi State","2","10","0.00546485281674503"
"Iowa State","2","10","0.00545158425344421"
"Arizona","2","10","0.00536693048789218"
"Eastern Michigan","3","9","0.00513987397586785"
"Central Michigan","3","9","0.00512009375909052"
"Louisiana","4","8","0.00511092356709004"
"East Carolina","1","11","0.00503407460737347"
"Baylor","3","9","0.00489599014053631"
"Army","0","13","0.00489067485802084"
"Buffalo","1","11","0.00479170272175953"
"Louisiana-Monroe","1","11","0.00460545819880603"
"Texas-El Paso","2","11","0.00451100894830461"
"San Jose State","3","8","0.00430819978672457"
"Arkansas State","5","7","0.00420068899630558"
"Southern Methodist","0","12","0.00418638951573017"
"Western Illinois","1","1","0.00149801224100813"
"Eastern Washington","1","1","0.00117390454144415"
"Florida Atlantic","1","1","0.00110710470416958"
"Northwestern State","1","1","0.000994716193340468"
"Cal Poly","1","1","0.000875088515682919"
"Delaware","1","0","0.000855561088445433"
"Tennessee Tech","0","2","0.000814710748445426"
"Furman","0","1","0.000779826863753732"
"Colgate","1","0","0.0007667260994765"
"Western Carolina","0","2","0.000718075420988706"
"Eastern Kentucky","0","2","0.000691610402095595"
"Florida International","0","2","0.000663407103655781"
"Southeast Missouri State","0","2","0.000647829867984775"
"Villanova","1","0","0.000646049430899841"
"Massachusetts","0","1","0.000619751391737137"
"Rhode Island","0","1","0.000591499219129947"
"Montana","1","0","0.000591345186120781"
