"Team","Wins","Losses","Distribution"
"Florida State","14","0","0.0196563758855788"
"Baylor","11","2","0.0140445972454241"
"Alabama","11","2","0.0139985309155639"
"Stanford","11","3","0.0136063678513202"
"Arizona State","10","4","0.0133643800212284"
"Oregon","11","2","0.0132507016298925"
"Auburn","12","2","0.0124856249661921"
"Ohio State","12","2","0.0124512044060163"
"Missouri","12","2","0.012276749221224"
"Oklahoma State","10","3","0.0120379916767"
"Wisconsin","9","4","0.0114941174169922"
"Michigan State","13","1","0.0111836647877299"
"Washington","9","4","0.0111826836290947"
"Louisiana State","10","3","0.0111518410049604"
"UCLA","10","3","0.0110311207808806"
"Clemson","11","2","0.0108281394614956"
"Southern California","10","4","0.0107022330217467"
"South Carolina","11","2","0.0104226829625509"
"Georgia","8","5","0.0102591991165734"
"Texas A&M","9","4","0.0101824047322993"
"Oklahoma","11","2","0.00996232010866707"
"Arizona","8","5","0.00979917698139392"
"Kansas State","8","5","0.00972962498571289"
"Bowling Green State","10","4","0.0095483552924175"
"Brigham Young","8","5","0.00953954625907455"
"Louisville","12","1","0.00946492859441554"
"Mississippi","8","5","0.00945046780708626"
"Utah State","9","5","0.00932004994751746"
"Northern Illinois","12","2","0.00927556164459974"
"Texas","8","5","0.00916046740394916"
"Oregon State","7","6","0.00909898527844684"
"Houston","8","5","0.00909150371200933"
"Notre Dame","9","4","0.00905746295115196"
"Duke","10","4","0.00895273231144523"
"Iowa","8","5","0.00893126399946125"
"Utah","5","7","0.0089248864213756"
"Georgia Tech","7","6","0.00880131746398654"
"Virginia Tech","8","5","0.00872444830438389"
"Florida","4","8","0.00872309658402312"
"Miami (FL)","9","4","0.00871606063383863"
"Central Florida","12","1","0.00870512658802758"
"Michigan","7","6","0.00869425101641106"
"Marshall","10","4","0.00866124428201579"
"Washington State","6","7","0.00858334240965062"
"Mississippi State","7","6","0.0085363888704506"
"Texas Christian","4","8","0.00838859361062962"
"Boise State","8","5","0.00836971340830874"
"North Carolina","7","6","0.00833108042338206"
"Fresno State","11","2","0.00805867578049599"
"East Carolina","10","3","0.00794591918442756"
"Texas Tech","8","5","0.00791770240893539"
"Boston College","7","6","0.00786327543908371"
"Vanderbilt","9","4","0.00779300024966386"
"Rice","10","4","0.00767710666581175"
"Minnesota","8","5","0.0076530395731222"
"Toledo","7","5","0.00764742811634976"
"Cincinnati","9","4","0.00755655917475254"
"Colorado State","8","6","0.00754854319727152"
"Navy","9","4","0.00753175393349041"
"Indiana","5","7","0.00751302826781272"
"Ball State","10","3","0.00751079994900851"
"Pittsburgh","7","6","0.00749600142831332"
"Buffalo","8","5","0.00743184419123172"
"Penn State","7","5","0.00735440657210886"
"Nebraska","9","4","0.00734242586239383"
"North Texas","9","4","0.0073422638951309"
"Northwestern","5","7","0.00725010321734831"
"Tennessee","5","7","0.00724667002566939"
"Maryland","7","6","0.00707077990054857"
"West Virginia","4","8","0.0069711295105364"
"Syracuse","7","6","0.00654931366464064"
"Arkansas","3","9","0.00652269424595363"
"Florida Atlantic","6","6","0.00647240512713278"
"Iowa State","3","9","0.00645837294512292"
"Wake Forest","4","8","0.00644448883200804"
"Illinois","4","8","0.00643630161443587"
"San Jose State","6","6","0.00636115331225831"
"Louisiana","9","4","0.00634990617977831"
"South Alabama","6","6","0.00629793712054839"
"North Carolina State","3","9","0.00627981014015873"
"Western Kentucky","8","4","0.00622366340240008"
"Texas-San Antonio","7","5","0.00620544391324513"
"Middle Tennessee State","8","5","0.00614872715936945"
"Tulane","7","6","0.00614475911989156"
"Colorado","4","8","0.00603846963072466"
"Southern Methodist","5","7","0.00602848618443489"
"Nevada","4","8","0.00599788372248747"
"Temple","2","10","0.00599343101393877"
"San Diego State","8","5","0.00599189784272848"
"Arkansas State","8","5","0.00596428183530161"
"Kentucky","2","10","0.00589898028872621"
"Nevada-Las Vegas","7","6","0.00586256844892927"
"Memphis","3","9","0.00585434268153245"
"Rutgers","6","7","0.00579286954320536"
"Kent State","4","8","0.00571879315559519"
"Connecticut","3","9","0.00556942774200756"
"South Florida","2","10","0.00556691634736058"
"Virginia","2","10","0.00553857305429354"
"Ohio","7","6","0.00553296514527516"
"Akron","5","7","0.00551565283520242"
"California","1","11","0.00548919522860737"
"Kansas","3","9","0.00538111690128581"
"Troy","6","6","0.00534038018993811"
"Hawaii","1","11","0.00533911903413976"
"Louisiana-Monroe","6","6","0.00502914879378933"
"Army","3","9","0.00502765737075657"
"Tulsa","3","9","0.00499951622093082"
"Central Michigan","6","6","0.00498123820272079"
"Wyoming","5","7","0.00489598458484752"
"Purdue","1","11","0.00479080849955548"
"New Mexico","3","9","0.00461563796503635"
"Texas State","6","6","0.00460819652428546"
"Western Michigan","1","11","0.00434257495982506"
"Louisiana Tech","4","8","0.00429640696104765"
"Air Force","2","10","0.00420623637838023"
"Massachusetts","1","11","0.00420410351936951"
"Georgia State","0","12","0.00414281005874922"
"Alabama-Birmingham","2","10","0.00411118377358591"
"Texas-El Paso","2","10","0.00380813455996966"
"Idaho","1","11","0.00373664779268955"
"Miami (OH)","0","12","0.00358226565379311"
"New Mexico State","2","10","0.0035818774174533"
"Eastern Michigan","2","10","0.00342403057266672"
"Southern Mississippi","1","11","0.00341144622543104"
"Florida International","1","11","0.00326878008650607"
"Old Dominion","1","4","0.00197114794114916"
"Eastern Illinois","1","1","0.00161232522276362"
"Eastern Washington","1","1","0.00142894398289093"
"Bethune-Cookman","1","1","0.00109228884329871"
"McNeese State","1","0","0.00108210188943251"
"Chattanooga","1","1","0.00104699773075434"
"Maine","1","1","0.000990119029550244"
"North Dakota State","1","0","0.000977656327848108"
"Samford","1","1","0.000975678795421898"
"Cal Poly","0","2","0.000969318115375331"
"Western Carolina","0","3","0.000945122304691948"
"Georgia Southern","1","0","0.000938437339035586"
"Southern Utah","1","1","0.000894402688936387"
"Nicholls State","1","2","0.000808716145956934"
"Austin Peay","0","3","0.000790432826795921"
"Western Illinois","0","2","0.000746055686581847"
"Towson","1","0","0.000735323802220478"
"Northern Iowa","1","0","0.000727144473680064"
"Murray State","0","2","0.00071693291789586"
"Sacramento State","0","2","0.000675430784034952"
"Indiana State","0","2","0.00067525698469651"
"Stony Brook","0","1","0.000651474981508428"
