"Team","Wins","Losses","Distribution"
"Southern California","13","0","0.0151023562155304"
"California","10","2","0.0145098964211673"
"Louisville","11","1","0.0139260709581654"
"Oklahoma","12","1","0.0133706658992062"
"Auburn","13","0","0.0130861960636794"
"Utah","12","0","0.0128815256100129"
"Texas","11","1","0.0125158862085872"
"Miami (FL)","9","3","0.0112857409255149"
"Boise State","11","1","0.0112629285002484"
"Virginia Tech","10","3","0.0112176723247555"
"Texas A&M","7","5","0.0109771107048301"
"Florida State","9","3","0.0108839078242233"
"Fresno State","9","3","0.0108725610896365"
"Texas Tech","8","4","0.0107823533791012"
"Georgia","10","2","0.010761136594469"
"Arizona State","9","3","0.0107420537408358"
"Virginia","8","4","0.0107136242322824"
"Oklahoma State","7","5","0.0106297724138299"
"Purdue","7","5","0.0105984720438932"
"Louisiana State","9","3","0.0105282161906028"
"Oregon State","7","5","0.01014810230732"
"Florida","7","5","0.0101403672671417"
"Tennessee","10","3","0.00989186138484632"
"Iowa","10","2","0.00961906722198739"
"Michigan","9","3","0.00955117437505688"
"Stanford","4","7","0.00948912022394333"
"Bowling Green State","9","3","0.00927415621943151"
"Arkansas","5","6","0.00926702977919502"
"UCLA","6","6","0.0091410868702844"
"Kansas","4","7","0.00907960478718455"
"Ohio State","8","4","0.00907693263580704"
"Notre Dame","6","6","0.00901654982788428"
"Oregon","5","6","0.00901576580750611"
"Texas-El Paso","8","4","0.00895702211503412"
"North Carolina","6","6","0.00890576922305929"
"New Mexico","7","5","0.0089038645246001"
"Clemson","6","5","0.00889894117306516"
"Michigan State","5","7","0.0088676327659635"
"Wisconsin","9","3","0.00883235415060772"
"North Carolina State","5","6","0.00883133728727667"
"Minnesota","7","5","0.00877741830967333"
"Georgia Tech","7","5","0.00876904551776468"
"Alabama","6","6","0.00876792588641107"
"Colorado","8","5","0.00867763343159933"
"Kansas State","4","7","0.00856409794892795"
"Northwestern","6","6","0.0085035461161102"
"Brigham Young","5","6","0.00850145034234547"
"West Virginia","8","4","0.00847446754074009"
"Missouri","5","6","0.0083946928861764"
"South Carolina","6","5","0.00836419631373094"
"Boston College","9","3","0.00834668624029062"
"Washington State","5","6","0.00830278979967424"
"Troy","7","5","0.00817530943357749"
"Penn State","4","7","0.00816918562805156"
"Memphis","8","4","0.00811159430961719"
"Iowa State","7","5","0.00799380022653999"
"Maryland","5","6","0.00798908265591135"
"Alabama-Birmingham","7","5","0.00782774773319678"
"Cincinnati","7","5","0.00779338432809081"
"Miami (OH)","8","5","0.00778145406257454"
"Arizona","3","8","0.00777255918102377"
"Louisiana Tech","6","6","0.00776272871220211"
"Toledo","9","4","0.00773516187706126"
"Wake Forest","4","7","0.00772806664744524"
"Navy","10","2","0.0076781123495767"
"Nebraska","5","6","0.00767103810993472"
"Wyoming","7","5","0.00766345077961652"
"Northern Illinois","9","3","0.00766093667538105"
"Southern Mississippi","7","5","0.0076297142084503"
"Syracuse","6","6","0.00761970796191422"
"Air Force","5","6","0.00758094541071425"
"San Diego State","4","7","0.00746174517552626"
"Marshall","6","6","0.00742836060849913"
"Colorado State","4","7","0.00739305292681974"
"Texas Christian","5","6","0.00737714923253476"
"Mississippi","4","7","0.00733510465809944"
"Connecticut","8","4","0.00717739747640514"
"Tulsa","4","8","0.00704881034810394"
"Florida Atlantic","9","3","0.00701794165791248"
"Pittsburgh","8","4","0.0070159833185747"
"Indiana","3","8","0.0069440802355419"
"Vanderbilt","2","9","0.00692301282543919"
"Washington","1","10","0.00692172420375402"
"Duke","2","9","0.00683751982430713"
"Hawaii","8","5","0.00681875919899505"
"Mississippi State","3","8","0.00661684565095014"
"Kent State","5","6","0.00655312760866471"
"Rutgers","4","7","0.00651178614769143"
"Kentucky","2","9","0.00648908221130224"
"Houston","3","8","0.00646400241060951"
"Illinois","3","8","0.00644865541100348"
"Baylor","3","8","0.00644785186854376"
"New Mexico State","5","6","0.00643418490279517"
"Nevada-Las Vegas","2","9","0.00642962023221142"
"Rice","3","8","0.00634959722994995"
"South Florida","4","7","0.00625759774850245"
"Tulane","5","6","0.00621127913966266"
"Nevada","5","7","0.00616991939392773"
"North Texas","7","5","0.00614241629438653"
"Middle Tennessee State","5","6","0.00605160938919429"
"Louisiana","4","7","0.00600194286250951"
"Army","2","9","0.00595212610184271"
"Louisiana-Monroe","5","6","0.00577463684365003"
"Ohio","4","7","0.00573171330902591"
"Akron","6","5","0.00568331713359849"
"Southern Methodist","3","8","0.00552257538599584"
"Utah State","3","8","0.00552170052195487"
"Temple","2","9","0.00551802217446902"
"San Jose State","2","9","0.00551190759167827"
"Arkansas State","3","8","0.00542388968278689"
"East Carolina","2","9","0.00534455340498593"
"Idaho","3","9","0.00529048369696555"
"Central Michigan","4","7","0.00503352898717307"
"Central Florida","0","11","0.00488700007734226"
"Eastern Michigan","4","7","0.00486022675353951"
"Ball State","2","9","0.00485171708234722"
"Buffalo","2","9","0.00461156002194243"
"Florida International","3","7","0.00448098919221501"
"Western Michigan","1","10","0.0044663865812864"
"Florida A&M","3","8","0.00369299661506988"
"Georgia Southern","1","1","0.00151902668246504"
"Western Kentucky","1","1","0.00142796211594187"
"Citadel","0","2","0.00118808740919765"
"Illinois State","0","2","0.00102872640624158"
"Texas State","0","2","0.00101920366511624"
"Portland State","0","1","0.000923210638805623"
"New Hampshire","1","0","0.000840300440313798"
"Southeast Missouri State","0","2","0.00081961525798545"
"Southern Illinois","0","1","0.000778305902496943"
"Furman","0","1","0.000753422668414788"
"William & Mary","0","1","0.000741284433234118"
"Northeastern","0","1","0.000734778451796245"
"Maine","1","0","0.000713651130602201"
"Delaware","0","1","0.000602006808869471"
"Samford","0","1","0.000598013184686167"
"Eastern Kentucky","0","1","0.000564875941913162"
"Northern Arizona","0","1","0.000562715625477711"
"Massachusetts","0","1","0.000557977931089296"
"Idaho State","0","1","0.000551087869669929"
"McNeese State","1","0","0.000542321767680962"
"Northwestern State","0","1","0.000541037419722254"
"Tennessee Tech","0","1","0.000539693600233795"
"Nicholls State","1","0","0.000537089146429323"
"Eastern Illinois","1","0","0.000534745312869767"
"Northern Iowa","0","1","0.000523842491967923"
"Eastern Washington","0","1","0.00050678797719117"
"Weber State","0","1","0.000490581957847055"
