"Team","Wins","Losses","Distribution"
"Wofford","0","1","0.000641242144070037"
"Murray State","0","2","0.000569935012509936"
"Villanova","0","1","0.000563893315552737"
"Howard","0","2","0.000560286371799868"
"Central Arkansas","0","1","0.000558694945887919"
"Nicholls State","0","3","0.000554526206609786"
"South Dakota State","0","1","0.000548334001177692"
"Citadel","0","1","0.000519291509369576"
"Southeast Missouri State","0","1","0.000502421560691698"
"Missouri State","0","1","0.000483741097778535"
"Youngstown State","0","1","0.000444960394148167"
"Montana","0","1","0.000429261758725884"
"Stephen F. Austin","0","1","0.000427613483328394"
"Weber State","0","1","0.000424971123561301"
"William & Mary","0","1","0.000421925178476257"
"Jacksonville State","0","1","0.000421796270756824"
"Virginia Military Institute","0","2","0.000407938406187137"
"Savannah State","0","3","0.000394918300482257"
"South Dakota","0","1","0.000391935519568081"
"Northern Colorado","0","1","0.000386547912309751"
"Yale","1","0","0.000384170226182431"
"Alcorn State","0","1","0.000378601644919926"
"Furman","0","1","0.000368673637532114"
"Stony Brook","0","1","0.000366414030687748"
"Maine","0","1","0.000360217752507353"
"Florida A&M","0","1","0.000358425757971719"
"Hampton","0","1","0.000354273701662369"
"Duquesne","0","1","0.000353107681783257"
"Gardner-Webb","0","1","0.000339669405294651"
"Richmond","0","1","0.000336555431336343"
"Alabama A&M","0","1","0.00033490686470236"
"Rhode Island","0","1","0.000330021024291758"
"Fordham","0","1","0.000321594132962692"
"Southern Illinois","0","1","0.00031813551557512"
"Southeastern Louisiana","0","1","0.000310274421943358"
"Montana State","0","1","0.000307106289512167"
"Elon","0","1","0.000302410042822826"
"Colgate","0","1","0.000296901509300515"
"Northern Arizona","0","1","0.000276254465063993"
"Morgan State","0","1","0.000269800196956365"
"Towson","0","1","0.000253410777066974"
"Sacramento State","0","1","0.000253129270217132"
"Sam Houston State","0","1","0.000243694455543262"
"New Hampshire","0","1","0.000235048665736651"
"Wagner","0","1","0.000228939868111296"
"North Carolina Central","0","1","0.000225530585552994"
"Norfolk State","0","1","0.000219102775185889"
"James Madison","0","1","0.000213504471043568"
"Cal Poly","0","1","0.000212862020376069"
"North Dakota","0","1","0.000207203972248244"
"Southern","0","1","0.000201007341073482"
"Grambling State","0","1","0.000190896950745217"
"South Carolina State","0","1","0.000165914995547402"
"Austin Peay","0","1","0.000164556684769025"
"Delaware","0","1","0.000151449008364886"
"Lamar","0","1","0.00014977109443311"
"Delaware State","0","1","0.000134321275384071"
"Campbell","0","1","9.85594330623394e-05"
"Arkansas-Pine Bluff","0","1","9.79994143486288e-05"
