"Team","Wins","Losses","Distribution"
"Alabama","14","1","0.0163688078365647"
"Oregon","12","1","0.0148707169365784"
"Georgia","12","3","0.0136766248984929"
"Kansas State","11","2","0.0128742658978099"
"Texas A&M","11","2","0.012804356262186"
"Oklahoma","10","3","0.0120809016529442"
"Stanford","12","2","0.0119127788687856"
"Florida","11","2","0.0115853274137087"
"Notre Dame","12","1","0.0114853520720649"
"Oklahoma State","8","5","0.0113962141834422"
"Florida State","12","2","0.0110309777507782"
"Louisiana State","10","3","0.010920392806758"
"Oregon State","9","4","0.0108586714806363"
"South Carolina","11","2","0.0108165136339075"
"UCLA","9","5","0.0106472379215859"
"Wisconsin","8","6","0.0105857553863876"
"Baylor","8","5","0.0104078081285443"
"Southern California","7","6","0.0104062607991659"
"Texas","9","4","0.0101304085978318"
"Arizona State","8","5","0.00987168184490265"
"Fresno State","9","4","0.00986608407382624"
"Utah State","11","2","0.00973518907138394"
"Nebraska","10","4","0.00969466300735183"
"Brigham Young","8","5","0.00965767766116869"
"Clemson","11","2","0.00964191732924757"
"Texas Christian","7","6","0.00959568195291324"
"Ohio State","12","0","0.00958015969633399"
"Michigan","8","5","0.00939652816855184"
"Northern Illinois","12","2","0.0093695085021501"
"Texas Tech","8","5","0.00934912467770777"
"Iowa State","6","7","0.00912874552689206"
"West Virginia","7","6","0.00896190929097848"
"Boise State","11","2","0.00894543499058663"
"Arizona","8","5","0.00894227520266187"
"San Jose State","11","2","0.00884183825972539"
"Central Florida","10","4","0.00881964713901071"
"Cincinnati","10","3","0.00871398949020992"
"Vanderbilt","9","4","0.00868307215731981"
"Mississippi","7","6","0.00864765662720756"
"Penn State","8","4","0.00858998107286529"
"Mississippi State","8","5","0.00851862006153086"
"Tulsa","11","3","0.00851725144107793"
"Pittsburgh","6","7","0.00848668742272563"
"Northwestern","10","3","0.00847397994008962"
"San Diego State","9","4","0.00836229646717577"
"Arkansas State","10","3","0.00835379469137883"
"Michigan State","7","6","0.00834769209723466"
"Louisiana Tech","9","3","0.00829383513321653"
"Washington","7","6","0.00827114938022317"
"Georgia Tech","7","7","0.00822620743819262"
"Utah","5","7","0.00817793080843073"
"Syracuse","8","5","0.00813928799870005"
"Missouri","5","7","0.00807922713148124"
"Kent State","11","3","0.00802793590809584"
"Tennessee","5","7","0.00786698542322243"
"Rutgers","9","4","0.0078081800484112"
"Louisiana-Monroe","8","5","0.0077643570364454"
"North Carolina","8","4","0.0077141653484404"
"Louisville","11","2","0.00763976036617352"
"Louisiana","9","4","0.00760943642587801"
"Miami (FL)","7","5","0.0074602807862112"
"Virginia Tech","7","6","0.00732970765504013"
"California","3","9","0.00717096522088819"
"Toledo","9","4","0.00716155739926171"
"Iowa","4","8","0.00711955276677993"
"Arkansas","4","8","0.00711592482428997"
"Western Kentucky","7","6","0.00706834861681178"
"North Carolina State","7","6","0.00701759356438828"
