"Team","Wins","Losses","Distribution"
"Alabama","14","1","0.0192246437911606"
"Ohio State","11","2","0.0163387862985324"
"Washington","12","2","0.0161415242399249"
"Michigan","10","3","0.0158643154871251"
"Clemson","14","1","0.0133481968538292"
"Wisconsin","11","3","0.0131469547965413"
"Penn State","11","3","0.0128371091163181"
"Colorado","10","4","0.0123527115292942"
"Louisville","9","4","0.0115071929060616"
"Southern California","10","3","0.0113217324463688"
"Auburn","8","5","0.011294611072176"
"Washington State","8","5","0.011107935313574"
"Western Michigan","13","1","0.0110009465184376"
"Virginia Tech","10","4","0.010749966866516"
"Louisiana State","8","4","0.0106389411324227"
"Oklahoma","11","2","0.010508430833635"
"Iowa","8","5","0.0103249341435124"
"Temple","10","4","0.0101042810013895"
"Miami (FL)","9","4","0.0100230607590421"
"Florida State","10","3","0.0099407689848652"
"Western Kentucky","11","3","0.00981685922824653"
"Texas A&M","8","5","0.00975411122929849"
"Stanford","10","3","0.00969392701674446"
"Northwestern","7","6","0.00965454361186026"
"Houston","9","4","0.00951421268460864"
"Utah","9","4","0.00933354676356712"
"Pittsburgh","8","5","0.0092197512283974"
"Minnesota","9","4","0.00903681347605716"
"Boise State","10","3","0.00886229705074429"
"Brigham Young","9","4","0.00885449177261201"
"Florida","9","4","0.00885068602421831"
"North Carolina","8","5","0.00874782509102859"
"West Virginia","10","3","0.00870629680789875"
"Navy","9","5","0.00869827435347552"
"Tennessee","9","4","0.00868225414927234"
"South Florida","11","2","0.0086499095539605"
"Oklahoma State","10","3","0.00859289734211845"
"Memphis","8","5","0.00859079341742144"
"Nebraska","9","4","0.00852612827208728"
"Mississippi","5","7","0.00851027819130041"
"Kansas State","9","4","0.00848444608910285"
"Tulsa","10","3","0.0084837695282392"
"San Diego State","11","3","0.00830022469518998"
"Notre Dame","4","8","0.00809865962685664"
"Michigan State","3","9","0.00805149420790249"
"Georgia Tech","9","4","0.00804508720872342"
"Toledo","9","4","0.00796623428528566"
"UCLA","4","8","0.0079167069392887"
"Mississippi State","6","7","0.00787592293910446"
"Vanderbilt","6","7","0.00787157747093885"
"Louisiana Tech","9","5","0.00785684272682856"
"Indiana","6","7","0.00777655094008904"
"North Carolina State","7","6","0.00774903634152584"
"Georgia","8","5","0.00763062217497292"
"Arkansas","7","6","0.00758071790662897"
"Central Florida","6","7","0.00753824458395909"
"Texas Christian","6","7","0.00751633915788354"
"Colorado State","7","6","0.00748093237695516"
"Oregon State","4","8","0.00746208489440533"
"Appalachian State","10","3","0.00741769254937671"
"Kentucky","7","6","0.00731891967957053"
"Oregon","4","8","0.00731263563748589"
"Wyoming","8","6","0.00729693504470801"
"Air Force","10","3","0.00724725153073806"
"Troy","10","3","0.00724580448886649"
"California","5","7","0.00721396846563417"
"Texas","5","7","0.00713044492400054"
"Duke","4","8","0.00689658832798892"
"Arizona State","5","7","0.00687761308253138"
"Baylor","7","6","0.00686201816489386"
"Ohio","8","6","0.00680947609271661"
"Texas Tech","5","7","0.00668416700102901"
"Wake Forest","7","6","0.00663873960684923"
"Maryland","6","7","0.00656651787860243"
"Iowa State","3","9","0.0065356279165544"
"Arkansas State","8","5","0.00638097950018415"
"Northern Illinois","5","7","0.0063303271202217"
"Army","8","5","0.00624416626686226"
"Missouri","4","8","0.00623817725087916"
"South Carolina","6","7","0.0061359500924215"
"Arizona","3","9","0.00610599571206752"
"Virginia","2","10","0.00604970058562414"
"New Mexico","9","4","0.00602576374001941"
"Old Dominion","10","3","0.00591053735796848"
"Texas-San Antonio","6","7","0.00587801743816769"
"Middle Tennessee State","8","5","0.00582840864626681"
"Central Michigan","6","7","0.00579798534250214"
"Miami (OH)","6","7","0.00579413860682535"
"Southern Methodist","5","7","0.00579184074163919"
"Georgia Southern","5","7","0.00577579964772113"
"Tulane","4","8","0.00568204238579985"
"Illinois","3","9","0.00564548527819613"
"South Alabama","6","7","0.00560629504030189"
"Idaho","9","4","0.00557854386980009"
"Eastern Michigan","7","6","0.0055769494273987"
"Utah State","3","9","0.00556037169096172"
"Cincinnati","4","8","0.00554112774544106"
"Boston College","7","6","0.00553517389457695"
"Southern Mississippi","7","6","0.00552819625591861"
"Syracuse","4","8","0.00548048335456373"
"Kent State","3","9","0.00529193659946569"
"Purdue","3","9","0.00527299562936059"
"Louisiana","6","7","0.00526664431492798"
"East Carolina","3","9","0.00525670780918195"
"Ball State","4","8","0.00519617758400163"
"Georgia State","3","9","0.00505165464935027"
"Hawaii","7","7","0.00496734872530967"
"Akron","5","7","0.00496476751528949"
"Rutgers","2","10","0.00494290169334019"
"Nevada","5","7","0.00486540704253187"
"Nevada-Las Vegas","4","8","0.00477956375653442"
"San Jose State","4","8","0.00477933910921202"
"Connecticut","3","9","0.00472423130616499"
"North Texas","5","8","0.00451636199100754"
"Bowling Green State","4","8","0.00450491937561455"
"Kansas","2","10","0.0044035504173276"
"Massachusetts","2","10","0.00438887665207344"
"Fresno State","1","11","0.00422438659349552"
"Florida International","4","8","0.00417550761454745"
"New Mexico State","3","9","0.00413951783604963"
"Marshall","3","9","0.0041087878529661"
"Charlotte","4","8","0.00405177608418921"
"Rice","3","9","0.00399832936453215"
"Louisiana-Monroe","4","8","0.00392999682995"
"Texas-El Paso","4","8","0.00389310744427651"
"Buffalo","2","10","0.00385202003611543"
"Florida Atlantic","3","9","0.00377902440067271"
"Texas State","2","10","0.00311520145354466"
"Nicholls State","0","2","0.00114468559908982"
"Eastern Washington","1","0","0.0010769857630643"
"North Dakota State","1","0","0.000976148649378067"
"Illinois State","1","0","0.000912768021187432"
"Tennessee-Martin","0","3","0.000885454661065416"
"Liberty","0","2","0.000862033975563794"
"Richmond","1","0","0.000834798846923491"
"Southern Utah","0","2","0.000829557953977685"
"South Carolina State","0","3","0.00081823855583272"
"Chattanooga","0","1","0.000787564766086604"
"North Carolina A&T","1","1","0.000769302403072381"
"Portland State","0","2","0.000719291512372306"
"California-Davis","0","2","0.000689219123194201"
"Northern Iowa","1","0","0.000666438142239963"
"Central Arkansas","1","0","0.000650668639347849"
"Western Illinois","1","0","0.000645503614899193"
"Maine","0","2","0.000615199994348806"
"Jacksonville State","0","1","0.000614487028489642"
"Idaho State","0","2","0.000611781855535096"
"Eastern Illinois","1","0","0.000576120664904946"
"Western Carolina","0","2","0.000515624483418443"
"Eastern Kentucky","0","2","0.000514477800214653"
"Youngstown State","0","1","0.000509860106986436"
"Austin Peay","0","2","0.000502711969710504"
"Furman","0","1","0.000495895257066954"
"Southeast Missouri State","0","1","0.000490572147162444"
"Villanova","0","1","0.00048814062820075"
"Samford","0","1","0.000485081741305077"
"North Carolina Central","0","2","0.000476199431161843"
"Montana State","0","1","0.000464953751469347"
"Tennessee State","0","1","0.00044950174842101"
"Wagner","0","2","0.000437767556423236"
"Abilene Christian","0","1","0.00043525007192734"
"South Dakota State","0","1","0.000429216075900423"
"Presbyterian","0","2","0.000429090701826604"
"Grambling State","0","1","0.000426589074826105"
"Houston Baptist","0","2","0.000410323613902525"
"Wofford","0","1","0.000407359358924486"
"Cal Poly","0","1","0.000405516082630665"
"Albany","1","0","0.000402818136615882"
"North Dakota","0","1","0.000394886086404868"
"Howard","0","2","0.000391521834413029"
"Delaware","0","1","0.000388779358303777"
"James Madison","0","1","0.000388230967386248"
"McNeese State","0","1","0.000386975195624491"
"Southern","0","2","0.000386742162164361"
"Mercer","0","1","0.000385092178441774"
"Alabama A&M","0","2","0.000384747418082774"
"Indiana State","0","1","0.0003813374831698"
"Alabama State","0","1","0.000380750292352046"
"Gardner-Webb","0","1","0.000377500133975179"
"Prairie View A&M","0","2","0.000366000832720664"
"Northern Colorado","0","1","0.000349173855086165"
"Citadel","0","1","0.000333735539571626"
"Stony Brook","0","1","0.000321702076611318"
"Missouri State","0","1","0.000315629733023626"
"New Hampshire","0","1","0.000315263699694966"
"Towson","0","1","0.000313774775173686"
"Lamar","0","1","0.000296682274206837"
"William & Mary","0","1","0.000295631062314014"
"Charleston Southern","0","1","0.00029474253841843"
"Fordham","0","1","0.000291257727135261"
"Monmouth","0","1","0.000287334872896905"
"Northern Arizona","0","1","0.000282998389866326"
"Southern Illinois","0","1","0.000277669920212826"
"South Dakota","0","1","0.000274252209862554"
"Colgate","0","1","0.000255802539602331"
"Savannah State","0","2","0.000254153168900846"
"Virginia Military Institute","0","1","0.000249935970541909"
"Bethune-Cookman","0","1","0.000239119226198028"
"Alcorn State","0","1","0.000236389988663307"
"Hampton","0","1","0.000231247627514002"
"Morgan State","0","2","0.000210108389214338"
"Southeastern Louisiana","0","1","0.000198008089514738"
"Tennessee Tech","0","1","0.000195086785041266"
"Sacramento State","0","1","0.00018747947938628"
"Weber State","0","1","0.000187010687090707"
"Northwestern State","0","1","0.00018394284119381"
"Florida A&M","0","1","0.000166425659494569"
"Stephen F. Austin","0","1","0.000161989366779649"
"Elon","0","1","0.000158524267751083"
"Mississippi Valley State","0","1","0.000153311836507886"
"Murray State","0","1","0.000147565336799286"
"Lafayette","0","1","0.000140303923534757"
"Incarnate Word","0","1","0.000128183569629537"
"Jackson State","0","1","0.000121821342316808"
"Rhode Island","0","1","0.000115102842080273"
"Delaware State","0","1","7.65424220254216e-05"
