"Team","Wins","Losses","Distribution"
"Louisiana State","13","1","0.0160789862932058"
"Oregon","12","2","0.0143294205852316"
"Alabama","12","1","0.0143247696369779"
"Oklahoma State","12","1","0.014020167666844"
"Wisconsin","11","3","0.0139620215448621"
"Stanford","11","2","0.0128690097593311"
"Oklahoma","10","3","0.0123962078884716"
"Houston","13","1","0.011511830189865"
"Michigan State","11","3","0.0114538651155398"
"Boise State","12","1","0.0112799961371672"
"Southern California","10","2","0.011189443420625"
"Michigan","11","2","0.0110133917281164"
"Texas A&M","7","6","0.0107976912066621"
"Arkansas","11","2","0.0106504676140237"
"Georgia","10","4","0.0105480140400375"
"Notre Dame","8","5","0.0101704483243392"
"Kansas State","10","3","0.00995389452522137"
"South Carolina","11","2","0.00990232841194428"
"Missouri","8","5","0.00989933232908309"
"Baylor","10","3","0.0098700777352557"
"Florida State","9","4","0.0097969267589583"
"Southern Mississippi","12","2","0.00975295574209607"
"Clemson","10","4","0.0097091353857519"
"Texas","8","5","0.00969617996964247"
"Texas Christian","11","2","0.00964090728326052"
"Arizona State","6","7","0.00959390924384569"
"Nebraska","9","4","0.00945322620413444"
"Virginia Tech","11","3","0.00943716938316234"
"California","7","6","0.00920458574549607"
"Penn State","9","4","0.008995848698496"
"Utah","8","5","0.00898340221019162"
"Vanderbilt","6","7","0.00884286365986405"
"Ohio State","6","7","0.00884225527852709"
"Florida","7","6","0.0088348781497959"
"Cincinnati","10","3","0.00874527492770661"
"Mississippi State","7","6","0.00871508070397559"
"West Virginia","10","3","0.00868545631105783"
"Miami (FL)","6","6","0.00862741029557129"
"Iowa","7","6","0.00862281672466344"
"Toledo","9","4","0.00855018554976324"
"Washington","7","6","0.00846077717082889"
"Pittsburgh","6","7","0.00843398822314777"
"Tulsa","8","5","0.00841683950947585"
"UCLA","6","8","0.00840229102199496"
"Iowa State","6","7","0.00831930527156308"
"Rutgers","9","4","0.00824276606450617"
"Louisiana Tech","8","5","0.00823952765212408"
"Temple","9","4","0.00823323562222282"
"Northern Illinois","11","3","0.00817600244101847"
"Arizona","4","8","0.00816009290375521"
"South Florida","5","7","0.00815099380677651"
"Georgia Tech","8","5","0.00814591884012861"
"Brigham Young","10","3","0.00804006321602981"
"Illinois","7","6","0.0080081350821867"
"North Carolina","7","6","0.00797630276766448"
"Arkansas State","10","3","0.00797223617012183"
"Louisville","7","6","0.0079702733298085"
"Northwestern","6","7","0.00793212263691379"
"Tennessee","5","7","0.00788912865969911"
"Oregon State","3","9","0.00781246235257502"
"Auburn","8","5","0.00778380351834404"
"Ohio","10","4","0.00767690150938924"
"Nevada","7","6","0.00765845263603304"
"Western Michigan","7","6","0.00758626328913938"
"Washington State","4","8","0.00749907400101509"
"North Carolina State","8","5","0.00747004054590022"
"San Diego State","8","5","0.0074195682760621"
"Texas Tech","5","7","0.00732229933301642"
"Connecticut","5","7","0.00730290196008423"
"Central Florida","5","7","0.00725207010129595"
"Wake Forest","6","7","0.00724188975799713"
"Utah State","7","6","0.00722325315301488"
"Air Force","7","6","0.0071981059405511"
"Syracuse","5","7","0.00717158783353956"
"Navy","5","7","0.00715170133658784"
"Southern Methodist","8","5","0.00714153496385976"
"Virginia","8","5","0.0071308955939009"
"Purdue","7","6","0.00713046047486264"
"Hawaii","6","7","0.0070527419236775"
"Florida International","8","6","0.00697908920869639"
"Louisiana","9","4","0.0069572003266506"
"Colorado","3","10","0.00689601488980742"
"Boston College","4","8","0.00683338439092244"
"Minnesota","3","9","0.00679617712309886"
"Fresno State","4","9","0.00669628425165519"
"Miami (OH)","4","8","0.00664779327600307"
"Kentucky","5","7","0.00655345240381237"
"Western Kentucky","7","5","0.00651662009526351"
"Duke","3","9","0.00646922570625799"
"Wyoming","8","5","0.0063834095977829"
"Louisiana-Monroe","4","8","0.00636827020674349"
"San Jose State","5","7","0.00634731296015822"
"Army","3","9","0.00620857251448014"
"Mississippi","2","10","0.00619220661578445"
"Marshall","8","6","0.00616553946103222"
"North Texas","5","7","0.00615147348962296"
"Maryland","2","10","0.00613058496200668"
"Texas-El Paso","5","7","0.00610813886739042"
"East Carolina","5","7","0.00610322491519269"
"Bowling Green State","5","7","0.00610114556424182"
"Rice","4","8","0.00601120833368757"
"Kent State","5","7","0.00594878737862646"
"Eastern Michigan","6","6","0.00592634434838095"
"Ball State","6","6","0.00591659292366215"
"Kansas","2","10","0.0059124748334948"
"New Mexico State","4","9","0.00568816059022677"
"Indiana","1","11","0.00561197310344333"
"Buffalo","3","9","0.00552404958894927"
"Troy","3","9","0.0054268422833019"
"Central Michigan","3","9","0.00536619213794626"
"Idaho","2","10","0.00528078972719635"
"Colorado State","3","9","0.00527325817449631"
"Alabama-Birmingham","3","9","0.00499852759265788"
"Tulane","2","11","0.00487831668488026"
"Nevada-Las Vegas","2","10","0.00486209199596991"
"Middle Tennessee State","2","10","0.00478732460614768"
"Florida Atlantic","1","11","0.00449673797412751"
"Memphis","2","10","0.00409884238227512"
"Akron","1","11","0.00393843249065727"
"New Mexico","1","11","0.003866615424416"
"Indiana State","1","1","0.00122875560821174"
"Central Arkansas","0","2","0.00101606673373192"
"South Dakota","0","2","0.000878840735300441"
"South Alabama","0","2","0.000872028366725011"
"Northwestern State","0","2","0.000859042210361003"
"Cal Poly","0","2","0.000845508957142705"
"Missouri State","0","2","0.000831927118736342"
"Eastern Kentucky","0","1","0.000827986448008176"
"Weber State","0","2","0.000804455695826008"
"Nicholls State","0","2","0.000794743792879827"
"Georgia Southern","0","1","0.000784070040396302"
"North Dakota State","1","0","0.000777644247761446"
"Stony Brook","0","2","0.00073137727082254"
"North Dakota","0","2","0.000725292560659786"
"Northern Iowa","0","1","0.000720158373805226"
"Southern Utah","1","0","0.000706649420870313"
"South Carolina State","0","2","0.000704598538806159"
"Eastern Washington","0","1","0.000703785721188259"
"Sacramento State","1","0","0.000703784425469831"
"Wofford","0","1","0.00067479482691105"
"California-Davis","0","2","0.000674363790205608"
"Maine","0","1","0.000660841098069027"
"Gardner-Webb","0","2","0.000631628027202877"
"Southeastern Louisiana","0","2","0.00062068011710802"
"Youngstown State","0","1","0.000602237689544645"
"Richmond","1","0","0.000594510320076485"
"Citadel","0","1","0.000575401088108739"
"Texas State","0","2","0.000572152915213858"
"Montana State","0","1","0.000565321780309949"
"Murray State","0","1","0.000554121484216339"
"Rhode Island","0","1","0.000550838130474891"
"Idaho State","0","2","0.000526989487733336"
"Fordham","0","2","0.000512885864579203"
"Furman","0","1","0.000503243920710705"
"Charleston Southern","0","2","0.000489983711922446"
"Samford","0","1","0.000470691090736105"
"Eastern Illinois","0","1","0.0004609170496494"
"Austin Peay","0","2","0.000460856043512813"
"Alabama State","0","1","0.000455192980576168"
"Tennessee Tech","0","1","0.00044458031401688"
"Chattanooga","0","1","0.000432462886497083"
"Liberty","0","1","0.000425501340080577"
"Elon","0","1","0.00042099068030178"
"Montana","0","1","0.000414940180674283"
"Bethune-Cookman","0","1","0.000410733385618102"
"Delaware","0","1","0.000399330022458922"
"Northern Arizona","0","1","0.000388485358930826"
"Southern Illinois","0","1","0.000381983789062537"
"James Madison","0","1","0.000372242368918563"
"Portland State","0","1","0.000368627964676766"
"New Hampshire","0","1","0.000368449687042385"
"McNeese State","0","1","0.000364727742430053"
"Sam Houston State","1","0","0.00036248784926678"
"Villanova","0","1","0.0003619333285583"
"Tennessee-Martin","0","1","0.000360880408303208"
"Jacksonville State","0","1","0.000358704944038208"
"Massachusetts","0","1","0.000345367561411588"
"Stephen F. Austin","0","1","0.000334856447069737"
"Towson","0","1","0.000328937773552032"
"Norfolk State","0","1","0.000325542453383212"
"Grambling State","0","1","0.000321860124630897"
"Northern Colorado","0","1","0.000318876964974481"
"Western Carolina","0","1","0.000311465860445735"
"Georgia State","0","1","0.000307381212844995"
"William & Mary","0","1","0.000301225233834033"
"Presbyterian","0","1","0.000294154975993071"
"Tennessee State","0","1","0.000292182867190325"
"North Carolina Central","0","1","0.000279647580538096"
"Howard","0","1","0.000276573811642631"
"Appalachian State","0","1","0.000267510501390521"
"Coastal Carolina","0","1","0.000265300155287409"
"Florida A&M","0","1","0.000250306285092572"
"South Dakota State","0","1","0.000245919281802832"
"Western Illinois","0","1","0.000220994270794345"
"Virginia Military Institute","0","1","0.000219910516522979"
"Morgan State","0","1","0.000219743288076429"
"Southeast Missouri State","0","1","0.000194288228356935"
