"Team","Wins","Losses","Distribution"
"Alabama","14","1","0.0191254978753846"
"Clemson","15","0","0.0158651623336477"
"Georgia","11","3","0.0151293414520144"
"Oklahoma","12","2","0.0122552558594991"
"Ohio State","13","1","0.0118513192888599"
"Michigan","10","3","0.0115965551887397"
"Mississippi State","8","5","0.0114002395294362"
"Missouri","8","5","0.0113600743991185"
"Louisiana State","10","3","0.0109298808438544"
"Notre Dame","12","1","0.0107309582720858"
"Fresno State","12","2","0.0104247429379617"
"Florida","10","3","0.0103693743620964"
"Kentucky","10","3","0.010352975964944"
"Texas A&M","9","4","0.0103135457399528"
"Washington","10","4","0.0102284330839451"
"Penn State","9","4","0.0100703227691401"
"Central Florida","12","1","0.0100375689690528"
"Utah","9","5","0.0100202453077811"
"West Virginia","8","4","0.00991134663289809"
"Iowa","9","4","0.00990545396944625"
"Texas","10","4","0.00986235096318578"
"Boise State","10","3","0.00956538238730033"
"Auburn","8","5","0.00956157817313909"
"South Carolina","7","6","0.00946280452676545"
"Utah State","11","2","0.00934467257823203"
"Washington State","11","2","0.0093333135983343"
"Vanderbilt","6","7","0.00918962499461964"
"Iowa State","8","5","0.00899777614513753"
"Purdue","6","7","0.00883274195003208"
"Syracuse","10","3","0.00880651531317515"
"Cincinnati","11","2","0.00870389438099367"
"Northwestern","9","5","0.00867524655879233"
"North Carolina State","9","4","0.00860541247740038"
"Stanford","9","4","0.00855559025375417"
"Oklahoma State","7","6","0.00843983571185403"
"Miami (FL)","7","6","0.00842998478965242"
"Temple","8","5","0.00842764412755444"
"Appalachian State","11","2","0.00833273695326107"
"Michigan State","7","6","0.00829779780363551"
"Army","11","2","0.00827839485828703"
"Pittsburgh","7","7","0.00824502024498138"
"Texas Tech","5","7","0.00814842531501521"
"Memphis","8","6","0.00810084231961835"
"Wisconsin","8","5","0.00796972229785192"
"Arizona State","7","6","0.0079086118328557"
"Ohio","9","4","0.00790284047118637"
"Georgia Tech","7","6","0.00785295625677461"
"Oregon","9","4","0.00785273203857461"
"Boston College","7","5","0.00783284658164604"
"Buffalo","10","4","0.00773569877947972"
"Virginia","8","5","0.00764439495838099"
"Maryland","5","7","0.00760183249123689"
"Middle Tennessee State","8","6","0.00759790228333213"
"Minnesota","7","6","0.00759758981575947"
"Texas Christian","7","6","0.00756266923999215"
"Kansas State","5","7","0.00749199713083451"
"Tennessee","5","7","0.00741323476426207"
"Duke","8","5","0.00740919887641537"
"Alabama-Birmingham","11","3","0.00740896352004148"
"Mississippi","5","7","0.00735531561423013"
"Houston","8","5","0.00732980627508696"
"Nebraska","4","8","0.00731389312196991"
"Indiana","5","7","0.00724491184558694"
"Southern California","5","7","0.00723963936114041"
"Northern Illinois","8","6","0.0071961325083301"
"Brigham Young","7","6","0.00716619576813267"
"California","7","6","0.00698598366587704"
"Baylor","7","6","0.00693269726181905"
"Georgia Southern","10","3","0.00689904197082159"
"North Texas","9","4","0.00683057299471282"
"Toledo","7","6","0.00678299889375832"
"Air Force","5","7","0.006746413244213"
"Eastern Michigan","7","6","0.0066984436438154"
"Miami (OH)","6","6","0.00664259938172277"
"San Diego State","7","6","0.00663734285740498"
"Colorado","5","7","0.00662701672444955"
"Wake Forest","7","6","0.00657785655578429"
"Kansas","3","9","0.00655860692168031"
"UCLA","3","9","0.00650121869744156"
"Wyoming","6","6","0.00648900276720599"
"Louisiana","7","7","0.00647602392409098"
"Arizona","5","7","0.00646692815133585"
"Troy","10","3","0.00644021306763617"
"Nevada","8","5","0.0064359817715115"
"Marshall","9","4","0.00638956101984058"
"Arkansas State","8","5","0.00636986057273999"
"Virginia Tech","6","7","0.00633722262967749"
"Navy","3","10","0.00630049467469476"
"Florida International","9","4","0.00622460885664251"
"Tulane","7","6","0.00620107899684186"
"Florida State","5","7","0.0061991973843345"
"Florida Atlantic","5","7","0.0061236557523049"
"Arkansas","2","10","0.00605449060105608"
"Hawaii","8","6","0.00595375063381236"
"Southern Methodist","5","7","0.0058773058239667"
"South Florida","7","6","0.00573284421787102"
"Louisiana Tech","8","5","0.00566035589107852"
"Western Michigan","7","6","0.0056478392135648"
"North Carolina","2","9","0.00551651915146804"
"Tulsa","3","9","0.00549948316631119"
"Southern Mississippi","6","5","0.00538159874136646"
"Akron","4","8","0.00529594614473442"
"Louisiana-Monroe","6","6","0.00527357553197464"
"Charlotte","5","7","0.00516753398188159"
"Rutgers","1","11","0.00506256826580256"
"Illinois","4","8","0.00502388575970731"
"San Jose State","1","11","0.00496785132379871"
"Colorado State","3","9","0.00496211231613731"
"Ball State","4","8","0.0049508569457449"
"Nevada-Las Vegas","4","8","0.00493717500030006"
"Central Michigan","1","11","0.00487025129786964"
"Coastal Carolina","5","7","0.0048623147282995"
"Liberty","6","6","0.00478219285914563"
"Western Kentucky","3","9","0.00476319606846503"
"New Mexico","3","9","0.00472675089053845"
"Oregon State","2","10","0.00472396116449363"
"Massachusetts","4","8","0.00466297537157191"
"Kent State","2","10","0.00464988706213977"
"East Carolina","3","9","0.00457684400980095"
"Louisville","2","10","0.00448449610203641"
"Georgia State","2","10","0.0044599687109215"
"Old Dominion","4","8","0.00445586342520629"
"Bowling Green State","3","9","0.00433399284707279"
"Rice","2","11","0.00429492514187791"
"Texas State","3","9","0.00427511391859146"
"South Alabama","3","9","0.0041041025940693"
"Texas-San Antonio","3","9","0.0039902176644805"
"Texas-El Paso","1","11","0.0039677520105414"
"New Mexico State","3","9","0.00386963746243054"
"Connecticut","1","11","0.00342886722130296"
"California-Davis","1","1","0.00100506674390173"
"Southeastern Louisiana","0","2","0.000941353956857503"
"Nicholls State","1","1","0.00090874876020814"
"Tennessee-Martin","0","2","0.000815095462757016"
"Villanova","1","0","0.000800215646998513"
"Maine","1","1","0.000788015276217735"
"Drake","0","1","0.000762265887567277"
"Tennessee State","0","1","0.00076096236798257"
"Idaho State","0","2","0.000754543126670739"
"Citadel","0","1","0.000754474636827664"
"Eastern Kentucky","0","2","0.000740698756181036"
"Howard","0","2","0.000725673280702252"
"South Carolina State","0","2","0.000693290546920308"
"Illinois State","1","0","0.000648410711358783"
"South Dakota","0","1","0.000634700591619903"
"Bethune-Cookman","0","2","0.000632752390514547"
"James Madison","0","1","0.000607429266545767"
"Northern Arizona","1","0","0.000568004466271414"
"Alcorn State","0","2","0.000559099009813827"
"Prairie View A&M","0","2","0.000553708126222552"
"Wofford","0","1","0.000549729774779026"
"Colgate","0","1","0.000545698083182942"
"Southern Utah","0","2","0.000544080964879587"
"Furman","0","1","0.000521469768086248"
"Northern Iowa","0","1","0.000519782406345022"
"Lafayette","0","1","0.000498114046085481"
"Idaho","0","2","0.000471723048816063"
"North Carolina A&T","1","0","0.000465355328818961"
"Austin Peay","0","1","0.000453921757465788"
"Southern","0","2","0.000450679994670475"
"Samford","0","1","0.000447677631929057"
"Incarnate Word","0","2","0.000445530697366243"
"Texas Southern","0","2","0.000442217952399579"
"Youngstown State","0","1","0.000441472247478434"
"Sacramento State","0","1","0.000437522652244179"
"Duquesne","0","2","0.00043327933840589"
"Alabama State","0","2","0.000414463513638599"
"Weber State","0","1","0.000413734816269121"
"Portland State","0","2","0.000411718134107059"
"Murray State","0","1","0.00039475683406054"
"Central Arkansas","0","1","0.000388191389416003"
"Albany","0","1","0.000381561890022758"
"Eastern Washington","0","1","0.000381081652477366"
"Kennesaw State","0","1","0.000369315217256291"
"Delaware State","0","2","0.000367104990715864"
"Richmond","0","1","0.000357899225617008"
"McNeese State","0","1","0.00035117058368192"
"Chattanooga","0","1","0.000344724777943025"
"Abilene Christian","0","1","0.000332067052327688"
"Elon","0","1","0.000329564915434153"
"North Dakota","0","1","0.000328615325532758"
"Western Carolina","0","1","0.000323077558543979"
"Charleston Southern","0","1","0.000322005889967515"
"Savannah State","0","2","0.000318250384871635"
"Southeast Missouri State","0","1","0.000312147159757235"
"Missouri State","0","1","0.000300525075132497"
"Southern Illinois","0","1","0.000300319473808182"
"New Hampshire","0","1","0.000296431183526317"
"Towson","0","1","0.00029423221412583"
"Western Illinois","0","1","0.000288808909265399"
"Northwestern State","0","1","0.000285752284293202"
"Stephen F. Austin","0","1","0.000281816319198699"
"Monmouth","0","1","0.00027980920611595"
"Fordham","0","1","0.000271163063928775"
"Lehigh","0","1","0.000266148653853634"
"Rhode Island","0","1","0.000265154088934686"
"Grambling State","0","1","0.000261364289772379"
"North Carolina Central","0","1","0.000257876676134709"
"Stony Brook","0","1","0.000257239342830695"
"Eastern Illinois","0","1","0.000247206445902579"
"Wagner","0","1","0.000243997741500206"
"Virginia Military Institute","0","2","0.000242291987825296"
"Holy Cross","0","1","0.000237752434161226"
"Indiana State","0","1","0.000235321084964027"
"Houston Baptist","0","1","0.000234560328487833"
"Morgan State","0","1","0.000221223699890062"
"Alabama A&M","0","1","0.000220126173525332"
"Tennessee Tech","0","1","0.000210859227468411"
"Mercer","0","1","0.000207180932956649"
"William & Mary","0","1","0.000205978573458202"
"Arkansas-Pine Bluff","0","1","0.000197755803732864"
"Central Connecticut State","0","1","0.000197586218289947"
"Norfolk State","0","1","0.000195258193996857"
"East Tennessee State","0","1","0.000187484697155806"
"Florida A&M","0","1","0.000178435781623183"
"Jackson State","0","1","0.000178198984879771"
"Gardner-Webb","0","1","0.000171629743880734"
"Campbell","0","1","0.000160056337353407"
"Lamar","0","1","0.00012764612982351"
