"Team","Wins","Losses","Distribution"
"Florida","13","1","0.0158966678458101"
"Oklahoma","12","2","0.0145817129961485"
"Texas","12","1","0.0137641776211888"
"Southern California","12","1","0.0128574064142071"
"Penn State","11","2","0.0127868283589513"
"Alabama","12","2","0.0118170114352225"
"Texas Tech","11","2","0.0117726654043109"
"Missouri","10","4","0.0116016015348505"
"Texas Christian","11","2","0.0110377986270366"
"Oklahoma State","9","4","0.0108236816239149"
"Ohio State","10","3","0.0107564847310248"
"Boise State","12","1","0.0106606582002986"
"Utah","13","0","0.0103124264925682"
"Oregon","10","3","0.0102755049726358"
"Iowa","10","4","0.0102223030894262"
"Mississippi","9","4","0.0102061892587015"
"California","9","4","0.00995700540847912"
"Ball State","12","2","0.00982948270393969"
"Arizona","8","5","0.00979953390020298"
"Oregon State","9","4","0.00977021272734071"
"North Carolina","8","5","0.00967498594273401"
"Georgia Tech","9","4","0.0095779950813792"
"Florida State","9","4","0.00956944163075754"
"Tulsa","11","3","0.00950965298111528"
"Georgia","10","3","0.00947514123564304"
"Nebraska","9","4","0.0092603672971996"
"Cincinnati","11","3","0.009222502320941"
"Boston College","9","5","0.00921528598557029"
"Clemson","7","6","0.00920465249441943"
"Kansas","8","5","0.0090887084743569"
"Wake Forest","8","5","0.00887986319309374"
"Rutgers","8","5","0.00884196102330856"
"Miami (FL)","7","6","0.00882907059913629"
"Virginia Tech","10","4","0.00881481054660039"
"Brigham Young","10","3","0.00879538973763465"
"Michigan State","9","4","0.00875111659823143"
"Buffalo","8","6","0.00862411567331461"
"South Carolina","7","7","0.00860941839401317"
"Illinois","5","7","0.00853637058786469"
"East Carolina","9","5","0.00842963851800706"
"Baylor","4","8","0.0083879964798907"
"Wisconsin","7","6","0.00835569195821458"
"Navy","8","5","0.00833219283350974"
"Northwestern","9","4","0.0082908942319769"
"Vanderbilt","7","6","0.00826469345310652"
"Louisiana State","8","5","0.00821624432826746"
"Stanford","5","7","0.00821550510051126"
"Colorado","6","7","0.00817040220177507"
"Notre Dame","7","6","0.00811501423449273"
"North Carolina State","6","7","0.00810754857893211"
"Maryland","8","5","0.00808801146445307"
"Houston","8","5","0.00805729620925192"
"Purdue","4","8","0.00802900542205214"
"Arizona State","5","7","0.00799528399450296"
