"Team","Wins","Losses","Distribution"
"Kansas State","11","2","0.0161511777893874"
"Southern California","11","2","0.015281852110834"
"Miami (FL)","12","1","0.0139836890331333"
"Oklahoma","12","2","0.0134811522707384"
"Georgia","13","1","0.013273425372815"
"Alabama","10","3","0.0126690427220469"
"Florida State","9","5","0.0126411620849883"
"Texas","11","2","0.0126113137021803"
"Ohio State","14","0","0.0123743635900352"
"Iowa","11","2","0.0118321369604487"
"North Carolina State","11","3","0.0117000043030587"
"Penn State","9","4","0.0115568168917335"
"Maryland","11","3","0.0114928735694794"
"Oregon State","8","5","0.011317114563783"
"Virginia Tech","10","4","0.0112413419740633"
"Arkansas","9","5","0.0111688857787717"
"Colorado","9","5","0.0111484944280226"
"Boise State","12","1","0.0110402394848697"
"Auburn","9","4","0.0108333119511207"
"California","7","5","0.0106487863649046"
"Texas Tech","9","5","0.0105230761606397"
"Washington State","10","3","0.0105079956797129"
"Notre Dame","10","3","0.0103913343073194"
"Colorado State","10","4","0.0102846722290654"
"Michigan","10","3","0.0102721832281191"
"Washington","7","6","0.0102672931869923"
"Arizona State","8","6","0.0102399480664766"
"Iowa State","7","7","0.0100516700049911"
"Virginia","9","5","0.0100380188232329"
"UCLA","8","5","0.0100122207989979"
"Nebraska","7","7","0.0100118754866665"
"Louisiana State","8","5","0.00991987891244659"
"West Virginia","9","4","0.00985314063992566"
"Florida","8","5","0.00983769067624355"
"Wisconsin","8","6","0.00971468225184256"
"Tennessee","8","5","0.00962221585175704"
"Pittsburgh","9","4","0.0095376144890437"
"Boston College","9","4","0.0095224728493332"
"Cincinnati","7","7","0.00949469122839271"
"Toledo","9","5","0.00941268519005965"
"Oregon","7","6","0.00937799641500234"
"Oklahoma State","8","5","0.00928139627321079"
"Texas A&M","6","6","0.00901579834214195"
"Purdue","7","6","0.00894102431408927"
"Georgia Tech","7","6","0.00886519683779672"
"Air Force","8","5","0.00882474944296902"
"Missouri","5","7","0.00882187934516734"
"Kentucky","7","5","0.00881089379848294"
"Clemson","7","6","0.00863587602784514"
"Bowling Green State","9","3","0.00853929418790879"
"Louisville","7","6","0.00846671154837914"
"Hawaii","10","4","0.00846130525412753"
"Wake Forest","7","6","0.0084386073875751"
"South Florida","9","2","0.0084117015586472"
"Mississippi","7","6","0.00838367676106923"
"Illinois","5","7","0.00834080658639947"
"Miami (OH)","7","5","0.00826961069893465"
"Northern Illinois","8","4","0.00817788141734048"
"Connecticut","6","6","0.00804482600152414"
"South Carolina","5","7","0.00802275655816327"
"North Texas","8","5","0.00793629199950809"
"Central Florida","7","5","0.0079025182266179"
"New Mexico","7","7","0.00786361350273456"
"Southern Mississippi","7","6","0.00777957442077304"
"Texas Christian","10","2","0.00777855702021116"
"Fresno State","9","5","0.00775402110645326"
"Minnesota","8","5","0.007743728614099"
"Marshall","11","2","0.00764868752360138"
"Arizona","4","8","0.00749554719810012"
