"Team","Wins","Losses","Distribution"
"Ohio State","13","1","0.019582351416954"
"Louisiana State","15","0","0.0158575754594726"
"Clemson","14","1","0.015519979589094"
"Wisconsin","10","4","0.013583991979823"
"Alabama","11","2","0.0132178188392342"
"Oklahoma","12","2","0.0130598267034393"
"Oregon","12","2","0.0128037838064252"
"Utah","11","3","0.0124485280188893"
"Georgia","12","2","0.0121691754015054"
"Baylor","11","3","0.0119018350854417"
"Penn State","11","2","0.0118097281933135"
"Auburn","9","4","0.0118087732573582"
"Florida","11","2","0.0112128600784818"
"Michigan","9","4","0.011099638195257"
"Memphis","12","2","0.0106200058024843"
"Iowa State","7","6","0.0104323828049232"
"Notre Dame","11","2","0.0103700452934104"
"Iowa","10","3","0.0100345229635483"
"Texas","8","5","0.00975104040083752"
"Minnesota","11","2","0.00971298583097545"
"Appalachian State","13","1","0.0096050749334698"
"Washington","8","5","0.0095873046165199"
"Central Florida","10","3","0.00948892018907642"
"Oklahoma State","8","5","0.00930919121036182"
"Kansas State","8","5","0.0092906550116278"
"Boise State","12","2","0.00919049713884081"
"Cincinnati","11","3","0.00916339381831274"
"Navy","11","2","0.00915705192418564"
"Texas Christian","5","7","0.00908991885363646"
"Southern California","8","5","0.00900769384259461"
"Louisiana","11","3","0.00899095981279191"
"Texas A&M","8","5","0.00895603014123797"
"Florida Atlantic","11","3","0.00872720478494646"
"Southern Methodist","10","3","0.00864199637909838"
"Washington State","6","7","0.00837628677663091"
"Air Force","11","2","0.00837608454331283"
"Virginia","9","5","0.00824270075087925"
"Indiana","8","5","0.00811624878676675"
"Arizona State","8","5","0.00802658155819509"
"Michigan State","7","6","0.00799142336343858"
"Mississippi","4","8","0.00794518649575922"
"North Carolina","7","6","0.00785599331730209"
"Mississippi State","6","7","0.00773352213149346"
"Texas Tech","4","8","0.00771542085842807"
"Kentucky","8","5","0.00769332435956187"
"California","8","5","0.00767515942947881"
"Tulane","7","6","0.00766320529693894"
"Virginia Tech","8","5","0.00761882971203404"
"Nebraska","5","7","0.00757833444906053"
"Hawaii","10","5","0.0075247132734026"
"Missouri","6","6","0.00747201400222443"
"Miami (FL)","6","7","0.00735344310972998"
"Oregon State","5","7","0.0073523023278691"
"Tennessee","8","5","0.00732313363467732"
"Illinois","6","7","0.00728500937547745"
"South Carolina","4","8","0.00721407375948488"
"West Virginia","5","7","0.00707260484929596"
"Houston","4","8","0.00705531685257382"
"Florida State","6","7","0.00701754420982424"
"Purdue","4","8","0.00698248188774995"
"Pittsburgh","8","5","0.0069629372290938"
"Brigham Young","7","6","0.00692623848691569"
"Tulsa","4","8","0.00691095557724558"
"Stanford","4","8","0.006718621272898"
"Wyoming","8","5","0.00670691867467617"
"Wake Forest","8","5","0.00665777018242213"
"UCLA","4","8","0.00665019358243036"
"Army","5","8","0.00663299324809836"
"Colorado","5","7","0.00663050116494556"
"Temple","8","5","0.00659973516086669"
"Louisville","8","5","0.00655236211834144"
"Northwestern","3","9","0.00650952783062796"
"Buffalo","8","5","0.00649540190505014"
"Georgia Southern","7","6","0.00649338296648279"
"San Diego State","10","3","0.00649075410311169"
"Western Kentucky","9","4","0.00647122033358136"
"Boston College","6","7","0.00643617686542361"
"Central Michigan","8","6","0.00642751447378336"
"Duke","5","7","0.00631333002726697"
"Ohio","7","6","0.00628475433486"
"Arizona","4","8","0.0062516729429624"
"Kansas","3","9","0.00623754188931841"
"Western Michigan","7","6","0.00623014598994978"
"Fresno State","4","8","0.00617632519034763"
"Ball State","5","7","0.00608081426402922"
"Marshall","8","5","0.00607950872158408"
"Miami (OH)","8","6","0.006031324337907"
"Utah State","7","6","0.00596376691104812"
"Syracuse","5","7","0.00594740832537248"
"Louisiana Tech","10","3","0.00594681614274242"
"Southern Mississippi","7","6","0.00594001294002771"
"Alabama-Birmingham","9","5","0.00574406582542375"
"Arkansas State","8","5","0.00570101566015694"
"Middle Tennessee State","4","8","0.00566362277332011"
"San Jose State","5","7","0.00562077393046672"
"Kent State","7","6","0.0055705839246791"
"Arkansas","2","10","0.00556783026571328"
"Maryland","3","9","0.00552827577623669"
"Eastern Michigan","6","7","0.00550679395379919"
"Louisiana-Monroe","5","7","0.00548110359863185"
"Georgia State","7","6","0.00544569950800409"
"Charlotte","7","6","0.00542007311940161"
"South Florida","4","8","0.00541815433239892"
"Liberty","8","5","0.00534570056286625"
"Colorado State","4","8","0.00533925666998704"
"Coastal Carolina","5","7","0.00526333820328854"
"Florida International","6","7","0.00521459991012605"
"North Texas","4","8","0.00519214322701052"
"Vanderbilt","3","9","0.00518685039499583"
"Troy","5","7","0.00516403085834998"
"Georgia Tech","3","9","0.00515336918272491"
"Northern Illinois","5","7","0.00514838269531289"
"North Carolina State","4","8","0.00512533408844222"
"East Carolina","4","8","0.00509837161477049"
"Rice","3","9","0.00503417340390312"
"Toledo","6","6","0.00491035946841599"
"Rutgers","2","10","0.00472744176389352"
"Nevada","7","6","0.00463673604849455"
"South Alabama","2","10","0.0046005844627494"
"Nevada-Las Vegas","4","8","0.00455589726136397"
"Texas State","3","9","0.00453101657142655"
"New Mexico","2","10","0.00427548150151353"
"Old Dominion","1","11","0.00421910528321833"
"Texas-San Antonio","4","8","0.00413208741835315"
"Connecticut","2","10","0.00389446563299504"
"New Mexico State","2","10","0.00383374031087137"
"Texas-El Paso","1","11","0.00351590340279251"
"Bowling Green State","3","9","0.0032480932883975"
"Akron","0","12","0.00295102663670314"
"Massachusetts","1","11","0.00243170780974496"
"Central Arkansas","1","1","0.00102436476042887"
"Furman","0","2","0.00102166600067906"
"Sacramento State","0","2","0.000960691204470291"
"Northern Iowa","0","1","0.000884229402914917"
"Weber State","0","2","0.000880987594473867"
"Maine","0","2","0.000830892433316862"
"Rhode Island","0","2","0.000821446056688946"
"Idaho State","0","2","0.000818326498651969"
"Southern Illinois","1","1","0.000773372809623855"
"Portland State","0","2","0.000767727832577566"
"Grambling State","0","2","0.000758919764791787"
"South Dakota State","0","1","0.000751719313627366"
"Alabama State","0","2","0.000681513285699117"
"Idaho","0","2","0.000672008902639061"
"Wagner","0","2","0.000660033208054525"
"William & Mary","0","2","0.000659721950819062"
"Nicholls State","0","2","0.000642939360485242"
"Northern Colorado","0","2","0.000633732014678053"
"Tennessee-Martin","0","2","0.000629310815950119"
"Abilene Christian","0","2","0.000594701674891918"
"Delaware","0","1","0.000590165635574061"
"Holy Cross","0","2","0.000577896296293651"
"Southeastern Louisiana","0","1","0.000561472596693066"
"East Tennessee State","0","2","0.000559795728009922"
"James Madison","0","1","0.000547371709934223"
"Norfolk State","0","2","0.000528095720709262"
"Murray State","0","2","0.000519201113800981"
"Montana","0","1","0.000518249215110999"
"California-Davis","0","1","0.000506644125495487"
"Citadel","1","0","0.0005005995097732"
"Gardner-Webb","0","2","0.00048753344373362"
"Indiana State","0","1","0.000482743493026128"
"Western Carolina","0","2","0.000476183012159056"
"Kennesaw State","0","1","0.000472152353849998"
"Wofford","0","1","0.000467505142704571"
"Incarnate Word","0","2","0.000453138576771883"
"Virginia Military Institute","0","2","0.000446134266837671"
"Central Connecticut State","0","1","0.000446006329833224"
"Southern","0","1","0.0004397387076248"
"Towson","0","1","0.000429003764659752"
"Northwestern State","0","1","0.000416787137007588"
"Eastern Washington","0","1","0.000410950328742571"
"Stephen F. Austin","0","1","0.000410891258043445"
"Prairie View A&M","0","1","0.000406363228586034"
"Arkansas-Pine Bluff","0","1","0.000398586360439948"
"Morgan State","0","2","0.000378438482155447"
"Albany","0","1","0.000365837061297504"
"New Hampshire","0","1","0.000352132589003321"
"Illinois State","0","1","0.000339849337639218"
"Tennessee State","0","1","0.000333704313181242"
"Northern Arizona","0","1","0.000328787762812804"
"Samford","0","1","0.00032868114362167"
"McNeese State","0","1","0.000325220690128643"
"Sam Houston State","0","1","0.000323458347910269"
"Montana State","0","1","0.000316018992742947"
"Robert Morris","0","1","0.000311922669842672"
"South Dakota","0","1","0.00030638452736104"
"Houston Baptist","0","1","0.000304851259207155"
"Colgate","0","1","0.000299348364392228"
"Fordham","0","1","0.000292013311536382"
"Alcorn State","0","1","0.000285251739959742"
"Richmond","0","1","0.000282221695621825"
"Cal Poly","0","1","0.000281298915307459"
"North Carolina A&T","0","1","0.000276834950712351"
"Western Illinois","0","1","0.000274492557196624"
"Monmouth","0","1","0.000255183028445629"
"Tennessee Tech","0","1","0.000249736847506901"
"Jackson State","0","1","0.000247515285780192"
"Campbell","0","1","0.000242415351382945"
"Chattanooga","0","1","0.000238976013673847"
"Mercer","0","1","0.000234088443651113"
"Elon","0","1","0.000232592130134364"
"Eastern Kentucky","0","1","0.000228909653045776"
"Eastern Illinois","0","1","0.000225904746836452"
"Bucknell","0","1","0.000220319776505325"
"Hampton","0","1","0.000218956676295584"
"Southeast Missouri State","0","1","0.000217644113175379"
"Missouri State","0","1","0.000213294897438731"
"Lamar","0","1","0.000212617107106992"
"Florida A&M","0","1","0.000210421730993991"
"South Carolina State","0","1","0.000202640594504333"
"Southern Utah","0","1","0.000195284029470521"
"Charleston Southern","0","1","0.000159975830520401"
"Bethune-Cookman","0","1","0.000159402420158972"
"Stony Brook","0","1","0.000155053581984688"
"Texas Southern","0","1","0.00014999996433713"
"Howard","0","1","8.33067010347866e-05"
