"Team","Wins","Losses","Distribution"
"Ohio State","12","1","0.0142231994569945"
"Louisville","12","1","0.012643127939241"
"Michigan","11","2","0.0121487281659565"
"Florida","13","1","0.0120331276349073"
"Southern California","11","2","0.0119645986257932"
"Louisiana State","11","2","0.0118551860825196"
"Brigham Young","11","2","0.0115327311431499"
"Texas","10","3","0.0114761763705564"
"California","10","3","0.011381646932924"
"Boise State","13","0","0.0112526605972596"
"Wisconsin","12","1","0.0109920824956568"
"Oklahoma","11","3","0.0109852383569182"
"Arkansas","10","4","0.010830060585452"
"Hawaii","11","3","0.0107727611664153"
"Tennessee","9","5","0.0106266844162783"
"West Virginia","11","2","0.0106143455683366"
"Nebraska","9","5","0.0106046485946153"
"Virginia Tech","10","3","0.0105922548454992"
"Clemson","8","5","0.0104254109466317"
"Boston College","10","3","0.0101408890406041"
"Notre Dame","10","3","0.0101051139884392"
"Oregon","7","6","0.00994350876439635"
"Auburn","11","2","0.00993295639169085"
"Missouri","8","5","0.00992419216753112"
"Rutgers","11","2","0.00987752945996687"
"South Carolina","9","5","0.00980337350222144"
"Oklahoma State","7","6","0.00959627725385461"
"Texas A&M","9","4","0.00951920640109875"
"Oregon State","10","4","0.00944886059047238"
"Penn State","10","4","0.00939929222281967"
"Arizona State","7","6","0.00930317045307113"
"Georgia","9","4","0.00925881177455269"
"Wake Forest","11","3","0.00922887405505447"
"Houston","10","5","0.00921144034785868"
"Texas Tech","8","5","0.0091861399226545"
"Pittsburgh","6","6","0.00918546320706158"
"Cincinnati","8","5","0.00907960085417575"
"Minnesota","6","7","0.00902099920843256"
"Georgia Tech","9","5","0.00896105340529882"
"Central Michigan","10","4","0.00892122990536523"
"Texas Christian","11","2","0.00889198243838614"
"Alabama","6","7","0.00886599252857837"
"UCLA","7","7","0.00883914491489297"
"Washington State","6","6","0.00883897698428497"
"South Florida","9","4","0.00881909300508138"
"Iowa","6","7","0.00881612694904046"
"Purdue","8","6","0.00878236309082514"
"Arizona","6","6","0.00869323232961585"
"Florida State","8","6","0.0085976924048402"
"Southern Mississippi","10","5","0.00858553768764539"
"Utah","8","5","0.00858157525181449"
"Washington","5","7","0.00857689372169739"
