"Team","Wins","Losses","Distribution"
"Texas","13","1","0.0143904676726499"
"Alabama","14","0","0.0142853198750769"
"Florida","13","1","0.0136957496675276"
"Texas Christian","12","1","0.0125918420758691"
"Boise State","14","0","0.0119117639152931"
"Georgia Tech","11","3","0.0119005102771873"
"Virginia Tech","10","3","0.0118141673214309"
"Oklahoma","8","5","0.0115127930342882"
"Nebraska","10","4","0.0114094340001875"
"Clemson","9","5","0.0112994768552579"
"Ohio State","13","2","0.0110271903107561"
"Oregon","10","4","0.0109672442810758"
"Texas Tech","9","4","0.010894948632521"
"Miami (FL)","9","4","0.0106436751643707"
"Arkansas","8","5","0.010636331543835"
"Cincinnati","12","1","0.0104371663813005"
"Louisiana State","9","4","0.0102340327680462"
"Mississippi","9","4","0.0100468636822816"
"Tennessee","7","6","0.0099186614848724"
"Stanford","8","5","0.00975401845018118"
"Pittsburgh","10","3","0.00974332896124867"
"Oregon State","8","5","0.00971845300696428"
"Houston","10","4","0.00966530626092226"
"Kentucky","8","6","0.00959166498372162"
"Arizona","8","5","0.00954233431901576"
"Auburn","8","5","0.00953957466828324"
"North Carolina","8","5","0.00951866876970803"
"Penn State","11","2","0.00949298362901146"
"Southern California","10","4","0.00924585900193671"
"Iowa","11","2","0.00924048002607813"
"Central Michigan","12","2","0.00923774964640233"
"South Carolina","7","6","0.00916393459487175"
"Oklahoma State","9","4","0.00913026417075419"
"Georgia","8","5","0.00908606224427779"
"Brigham Young","11","2","0.00906642171493615"
"Connecticut","8","5","0.00893586039992466"
"West Virginia","9","4","0.00891126811504706"
"Florida State","7","6","0.00889916049328362"
"East Carolina","9","5","0.00887440926332598"
"Navy","10","4","0.00882297521598852"
"Mississippi State","5","7","0.00875405748266617"
"Nevada","8","5","0.00872318907026691"
"Wisconsin","10","3","0.00869808772927028"
"Missouri","8","5","0.00868664091194117"
"Utah","10","3","0.00866324952350325"
"Notre Dame","6","6","0.00862802291341945"
"Boston College","8","6","0.00856737702863749"
"Air Force","8","5","0.00852469987584019"
"California","8","5","0.00833997271521622"
"Texas A&M","6","7","0.00832787656184546"
"UCLA","7","6","0.00831928766286441"
"Washington","5","7","0.00822603938687612"
"Wake Forest","5","7","0.00821414385347136"
"Kansas","5","7","0.00804619078322311"
"Rutgers","9","4","0.00803984775804929"
"Fresno State","8","5","0.00795479945322617"
"South Florida","8","5","0.00794051435684869"
"Virginia","3","9","0.00790095540291715"
"Arizona State","4","8","0.00785209670787787"
"Michigan State","6","7","0.00780110642676663"
"Central Florida","8","5","0.0077823258415202"
"Kansas State","6","6","0.00774597410169053"
"Ohio","9","5","0.00773007918608295"
"Southern Mississippi","7","6","0.00764688054543923"
"Duke","5","7","0.00755417655796178"
"Minnesota","6","7","0.00747575447055589"
"Purdue","5","7","0.00746322055939174"
"Louisiana Tech","4","8","0.007446553247144"
"Iowa State","7","6","0.00741021522296466"
"Temple","9","4","0.00736879262767724"
"Middle Tennessee State","10","3","0.00727376165104627"
"Baylor","4","8","0.00727196440050878"
"North Carolina State","5","7","0.00724091335001499"
"Colorado","3","9","0.00723256891797504"
"Northern Illinois","7","6","0.00721435483731819"
"Troy","9","4","0.00715420876440316"
"Vanderbilt","2","10","0.00704252232224045"
"Northwestern","8","5","0.00698114235335739"
"Michigan","5","7","0.00694741933475259"
"Bowling Green State","7","7","0.00680097507687784"
"Maryland","2","10","0.00679813095534409"
"Illinois","3","9","0.00675248284231251"
"Louisville","4","8","0.0067237376809315"
"Southern Methodist","8","5","0.00666650553725449"
"Marshall","7","6","0.00661554531079149"
"Indiana","4","8","0.0065932226619817"
"Syracuse","4","8","0.00655837322545347"
"Utah State","4","8","0.00655272786730019"
"Tulsa","5","7","0.00653123402729238"
"Hawaii","6","7","0.00642061904109971"
"Buffalo","5","7","0.00637730623313121"
"Idaho","9","5","0.00636991177205319"
"Colorado State","3","9","0.00633005066756876"
"Alabama-Birmingham","5","7","0.00632897859581441"
"Wyoming","7","6","0.00614272582269111"
"Texas-El Paso","4","8","0.00607872669621165"
"Louisiana-Monroe","6","6","0.00602773853405782"
"Toledo","5","8","0.00602505909092757"
"Nevada-Las Vegas","5","7","0.00600126469455685"
"San Diego State","4","8","0.00599489932435667"
"Arkansas State","4","8","0.00595233923280722"
"Kent State","5","7","0.00578184856443707"
"Western Michigan","5","7","0.00576921198883232"
"Florida Atlantic","5","7","0.00572191119569835"
"Army","5","7","0.00562599995269544"
"Memphis","2","10","0.00552058417889119"
"Ball State","2","10","0.00550999513778099"
"Florida International","3","9","0.00548723427626869"
"Louisiana","6","6","0.00542141856500354"
"Miami (OH)","1","12","0.00538047004981157"
"North Texas","2","10","0.0053060356472371"
"Akron","3","9","0.00521574278498884"
"New Mexico","1","11","0.00521044975892461"
"Washington State","1","11","0.00498852175799388"
"New Mexico State","3","10","0.00494972345508853"
"San Jose State","2","10","0.0049066734534985"
"Western Kentucky","0","12","0.0045334866644016"
"Rice","2","10","0.00450287520753476"
"Tulane","3","9","0.0044679947342975"
"Eastern Michigan","0","12","0.00439112811353749"
"Jacksonville State","0","2","0.00133460923762338"
"Northern Arizona","0","2","0.00118365332765994"
"Central Arkansas","1","1","0.00109526726198914"
"Weber State","0","2","0.00104850359227208"
"Eastern Kentucky","0","2","0.00101810413209587"
"William & Mary","1","0","0.000913456674532808"
"California-Davis","0","2","0.000909687190714029"
"Northern Iowa","0","1","0.000824321088425309"
"Cal Poly","0","2","0.000822444392343757"
"Furman","0","2","0.000811715369564321"
