"Team","Wins","Losses","Distribution"
"Louisiana State","12","2","0.0137025345753815"
"Missouri","12","2","0.0130402902590318"
"Florida","9","4","0.0129007261174321"
"Oklahoma","11","3","0.0127710059951323"
"West Virginia","11","2","0.0126365015477691"
"Kansas","12","1","0.012559067306819"
"South Florida","9","4","0.0121253109331223"
"Ohio State","11","2","0.0121031093868243"
"Cincinnati","10","3","0.0114249048609231"
"Georgia","11","2","0.0111082860438651"
"Tennessee","10","4","0.0107198604239911"
"Clemson","9","4","0.0107111581740377"
"Oregon","9","4","0.0105980699021185"
"Arkansas","8","5","0.0104920209886912"
"Southern California","11","2","0.0104327841972281"
"Arizona State","10","3","0.0104154029331875"
"Virginia Tech","11","3","0.0103807406970998"
"Auburn","9","4","0.0103758867723391"
"Texas Tech","9","4","0.010205806880147"
"Illinois","9","4","0.0101725765162074"
"Penn State","10","4","0.00999947278808088"
"Texas","10","3","0.00997327760592438"
"Kentucky","8","5","0.00984463856644816"
"Boston College","11","3","0.00982929766817207"
"Brigham Young","11","2","0.00962077929623718"
"Michigan","9","4","0.00953794812556029"
"South Carolina","6","6","0.00947160030518157"
"Boise State","10","3","0.00941475935767332"
"Utah","9","4","0.00940120333933608"
"Connecticut","9","4","0.00939975793192637"
"Alabama","7","6","0.00939886615475074"
"Oklahoma State","7","6","0.0093164579305249"
"Washington","4","9","0.00931114709459697"
"Michigan State","7","6","0.00919890098322092"
"Wisconsin","9","4","0.00919531920451739"
"Arizona","5","7","0.009132201361188"
"Rutgers","8","5","0.00907221435542794"
"Central Florida","10","4","0.00901511863157319"
"Maryland","6","7","0.00899124268108378"
"Texas A&M","7","7","0.00896750248230929"
"Louisville","6","6","0.00891830024680436"
"Troy","8","4","0.0088096934699544"
"Florida State","7","6","0.00879690311903692"
"Wake Forest","9","4","0.00876810022017029"
"Kansas State","5","7","0.00875743956126108"
"Hawaii","12","1","0.00874081751237042"
"California","7","6","0.00870220935533078"
"Virginia","9","4","0.00866839140711448"
"Air Force","9","4","0.00858308932676606"
"Purdue","8","5","0.00855096636554506"
"Georgia Tech","7","6","0.00851288755903358"
"Colorado","6","7","0.00847110887591884"
"Texas Christian","8","5","0.00846596354374082"
"UCLA","6","7","0.00845022074120311"
"Oregon State","9","4","0.00842850213550285"
"Mississippi State","8","5","0.00833911629872396"
"Vanderbilt","5","7","0.00825214644655669"
"Nebraska","5","7","0.00809615751835905"
"Tulsa","10","4","0.00794125220861276"
"Indiana","7","6","0.00787648054940623"
"Ball State","7","6","0.00761499723954539"
"Iowa","6","6","0.00758822243090602"
"North Carolina","4","8","0.00757688257965843"
"Fresno State","9","4","0.00757634230194727"
"Mississippi","3","9","0.00754832172025594"
"Washington State","5","7","0.00749144617787543"
"New Mexico","9","4","0.00748713853384571"
"Central Michigan","8","6","0.0073487645457604"
"Navy","8","5","0.00725590073106965"
"East Carolina","8","5","0.00720089526251249"
"Pittsburgh","5","7","0.00716481788168571"
"Miami (FL)","5","7","0.00712872314765836"
"Southern Mississippi","7","6","0.00702243564659216"
"Houston","8","5","0.00699217088388338"
"Bowling Green State","8","5","0.00693397473266254"
"Iowa State","3","9","0.00692347272207159"
"Florida Atlantic","9","5","0.00691871403808244"
"North Carolina State","5","7","0.00688033237710911"
"Colorado State","3","9","0.00684878352438774"
"Northwestern","6","6","0.00673348362797442"
"Wyoming","5","7","0.00669544405612629"
"Minnesota","1","11","0.0066565532273476"
"Western Michigan","5","7","0.0066449004969924"
"Miami (OH)","6","7","0.00663743625698407"
"Notre Dame","3","9","0.0065910070758824"
"Middle Tennessee State","5","7","0.00645589931922856"
"Louisiana-Monroe","6","6","0.00643063686982989"
"Stanford","4","8","0.00635346298118479"
"Ohio","6","6","0.0063484257939404"
"San Diego State","4","8","0.0063156212797515"
"Nevada-Las Vegas","2","10","0.00626725904756988"
"Marshall","3","9","0.00624344098485913"
"Buffalo","5","7","0.00619913428713592"
"Arkansas State","5","7","0.00618483107328787"
"Western Kentucky","7","5","0.00617388810370345"
"Duke","1","11","0.00610111352610494"
"Syracuse","2","10","0.0060943929999928"
"Louisiana","4","9","0.00603321871441201"
"Akron","4","8","0.0059867511823825"
"Toledo","5","7","0.00597013677944666"
"Nevada","6","7","0.00592375630126819"
"Eastern Michigan","4","8","0.00586690496377939"
"Texas-El Paso","4","8","0.00586629503529096"
"Memphis","7","7","0.00573072382181004"
"Baylor","3","9","0.00572401348880538"
"San Jose State","5","7","0.00560443896448133"
"Kent State","3","9","0.00556929338517708"
"Army","3","9","0.00554673031499744"
"Louisiana Tech","5","7","0.00550452057474754"
"Utah State","2","10","0.00547817400537891"
"Temple","4","8","0.00547457819264307"
"Tulane","4","8","0.00542570678647933"
"New Mexico State","4","9","0.00540800540498018"
"Southern Methodist","1","11","0.00522457039244986"
"Rice","3","9","0.00514185481346363"
"Northern Illinois","2","10","0.00509020168274033"
