"Team","Wins","Losses","Distribution"
"Oregon","12","1","0.0182196293099633"
"Stanford","12","1","0.0163180683147794"
"Auburn","15","0","0.0162298254247012"
"Boise State","12","1","0.0159409424305726"
"Texas Christian","13","0","0.0143307302450162"
"Virginia Tech","11","3","0.0133307168028922"
"Oklahoma","12","2","0.0130334759892473"
"Alabama","10","3","0.0128955356382918"
"Nebraska","10","4","0.0127041559879584"
"Ohio State","12","1","0.0125217179931426"
"Nevada","13","1","0.0125017924821934"
"South Carolina","9","6","0.0121418343051877"
"Southern California","8","5","0.0120326627378003"
"Arkansas","10","3","0.0117463922948176"
"Arizona State","6","6","0.0116162938339071"
"Wisconsin","11","2","0.0114825318408531"
"Florida State","10","4","0.0114473755247713"
"Oklahoma State","11","2","0.0113184698291112"
"Missouri","10","3","0.0111585165345548"
"Arizona","7","6","0.011101438372764"
"Louisiana State","11","2","0.0108139521561832"
"Oregon State","5","7","0.0107612394156687"
"Hawaii","10","4","0.0107269453876587"
"Texas A&M","9","4","0.0103787026356071"
"California","5","7","0.0102767641537621"
"Iowa","8","5","0.0100363370701949"
"Georgia","6","8","0.00985599673235852"
"North Carolina State","9","4","0.00985007147335417"
"West Virginia","9","4","0.00976024898171746"
"Miami (FL)","7","6","0.00968091421142129"
"Utah","10","3","0.00966708204108678"
"Michigan State","12","2","0.00960453146052373"
"Mississippi State","9","4","0.00944436600332574"
"Florida","8","5","0.0093320253701319"
"Notre Dame","8","5","0.00924934241992665"
"Clemson","6","7","0.00914632095214778"
"Central Florida","12","3","0.00914275588865983"
"Northern Illinois","11","3","0.00899370050434302"
"Air Force","9","4","0.0089463604579726"
"San Diego State","9","4","0.00890802008178528"
"Pittsburgh","8","5","0.00884440296203732"
"Illinois","7","6","0.0087314223706095"
"North Carolina","8","5","0.00867550017316967"
"Navy","9","4","0.00863504857665308"
"Maryland","9","4","0.00862701254061175"
"Washington","7","6","0.00830140161668842"
"Louisville","7","6","0.00824929813557027"
"Kansas State","7","6","0.0082287940548799"
"Kentucky","6","7","0.00799213762497799"
"Brigham Young","7","6","0.00788799053649015"
"Tennessee","6","7","0.00780982581714468"
"UCLA","4","8","0.00779987009002137"
"Colorado","6","7","0.00777562219918712"
"Michigan","7","6","0.00776706954154293"
"Texas","5","7","0.00772667845547237"
"Baylor","7","6","0.00765794471602191"
"Texas Tech","8","5","0.00765265698718564"
"Georgia Tech","6","7","0.00764279592379135"
"Southern Methodist","7","7","0.00760294264778209"
"Penn State","7","6","0.00755265416180837"
"Tulsa","10","3","0.00750383790697439"
"Mississippi","4","8","0.00741925579793722"
"Connecticut","8","5","0.00738362475327968"
"Washington State","2","10","0.00736557988870818"
"Southern Mississippi","8","5","0.00734680398542259"
"South Florida","8","5","0.00734393727822686"
"Boston College","7","6","0.00728812557101037"
"Fresno State","8","5","0.00723554574557454"
"Idaho","6","7","0.00714545066374486"
"Cincinnati","4","8","0.00705000035660708"
"Syracuse","8","5","0.0068905470969994"
"Houston","5","7","0.00677299602804885"
"Louisiana Tech","5","7","0.00677058557971683"
"Iowa State","5","7","0.00676921263397901"
"Virginia","4","8","0.00660888865437655"
"Temple","8","4","0.00648960538363556"
"Florida International","7","6","0.00647468420071939"
"Western Michigan","6","6","0.00636137346527951"
"East Carolina","6","7","0.00635166055719984"
"Minnesota","3","9","0.0063468971386988"
"Army","7","6","0.0063046243705202"
"Troy","8","5","0.00629063630563366"
"Arkansas State","4","8","0.00626747419584653"
"Northwestern","7","6","0.00619785650141421"
"Duke","3","9","0.00610249902141691"
"Toledo","8","5","0.00605741421297989"
"Miami (OH)","10","4","0.00599535120755729"
"Utah State","4","8","0.00597509499539509"
"Ohio","8","5","0.00590025162933002"
"Rutgers","4","8","0.00583578836418297"
"Wake Forest","3","9","0.00581896470657118"
