"Team","Wins","Losses","Distribution"
"Oklahoma","11","2","0.0139407530013739"
"Clemson","14","1","0.0130396914298691"
"Alabama","14","1","0.0130132814391587"
"North Carolina","11","3","0.0124126388937985"
"Stanford","12","2","0.0118020087810217"
"Ohio State","12","1","0.0117034687710632"
"Baylor","10","3","0.0115619651015097"
"Michigan State","12","2","0.0111907736086411"
"Notre Dame","10","3","0.0111711603333999"
"Houston","13","1","0.0109659344882625"
"Florida State","10","3","0.0109620631735422"
"Texas Christian","11","2","0.0108440210935957"
"Iowa","12","2","0.0106500356752496"
"Southern California","8","6","0.010625732138283"
"Mississippi","10","3","0.0103935578583517"
"Tennessee","9","4","0.0102620738515822"
"Bowling Green State","10","4","0.0102403040650029"
"Oklahoma State","10","3","0.0100599436556399"
"Michigan","10","3","0.00998370498251077"
"Florida","10","4","0.0099280498068577"
"Navy","11","2","0.00986924086114142"
"West Virginia","8","5","0.00979981259724516"
"Temple","10","4","0.00972765436993315"
"Memphis","9","4","0.00965036184013306"
"Washington","7","6","0.00958119276950149"
"Arkansas","8","5","0.00932771803853784"
"Oregon","9","4","0.00927928895396718"
"Western Kentucky","12","2","0.00926821653804344"
"Utah","10","3","0.00924963647599911"
"South Florida","8","5","0.00920195627078187"
"Pittsburgh","8","5","0.00917075528082028"
"Mississippi State","9","4","0.00905456863802154"
"Wisconsin","10","3","0.00895279493329635"
"UCLA","8","5","0.00891997702427083"
"North Carolina State","7","6","0.00887038878212712"
"California","8","5","0.00882383558673237"
"Virginia Tech","7","6","0.008784612375301"
"Louisiana State","9","3","0.00877290177139031"
"Texas Tech","7","6","0.00876060977495133"
"Texas A&M","8","5","0.00865562849360989"
"Louisville","8","5","0.00865034195627492"
"Brigham Young","9","4","0.00857209680314184"
"Washington State","9","4","0.00852220792022151"
"Georgia","10","3","0.00844829949579378"
"Georgia Tech","3","9","0.00835080884289841"
"Northern Illinois","8","6","0.00824176767416572"
"San Diego State","11","3","0.0081799803989823"
"Nebraska","6","7","0.00816389143191145"
"Boise State","9","4","0.00816193909042872"
"Toledo","10","2","0.00815318705364073"
"Arizona State","6","7","0.00808957248676476"
"Northwestern","10","3","0.00803960778572186"
"Texas","5","7","0.00802031289588712"
"Air Force","8","6","0.00794511879597417"
"Auburn","7","6","0.00793019964877878"
"Miami (FL)","8","5","0.00792211435993434"
"Cincinnati","7","6","0.00787118435982898"
"Duke","8","5","0.00785893676516937"
"Western Michigan","8","5","0.00782482534139853"
"Penn State","7","6","0.0078190751083614"
"Southern Mississippi","9","5","0.00776286721337336"
"East Carolina","5","7","0.00763687815032488"
"Kansas State","6","7","0.00758597365446774"
"Indiana","6","7","0.0075806751437209"
"Virginia","4","8","0.00748483515358148"
"Boston College","3","9","0.00747878572329792"
"Appalachian State","11","2","0.00747749622217945"
"Central Michigan","7","6","0.00737147388263689"
"Minnesota","6","7","0.00725421581464637"
"Syracuse","4","8","0.00723457745566793"
"Iowa State","3","9","0.00723409706805008"
"Georgia Southern","9","4","0.0071677416250261"
"South Carolina","3","9","0.00710986299744651"
"Utah State","6","7","0.00709345575233251"
"Connecticut","6","7","0.00702251222907443"
"Missouri","5","7","0.00700144634841427"
"Illinois","5","7","0.00697652736322554"
"Wake Forest","3","9","0.00690505284346625"
"Colorado","4","9","0.00687185751991851"
"Marshall","10","3","0.00685833338512959"
"Arizona","7","6","0.00680795238547535"
"Maryland","3","9","0.00674920302983433"
"Vanderbilt","4","8","0.00667548918923183"
"Louisiana Tech","9","4","0.00657394352800384"
"Tulsa","6","7","0.0065525622142354"
"Arkansas State","9","4","0.00650018357384507"
"Middle Tennessee State","7","6","0.006406721908509"
"Kentucky","5","7","0.00633204405516534"
"Ohio","8","5","0.00619369576155495"
"Purdue","2","10","0.00610439666198743"
"Akron","8","5","0.00604657880095571"
"Rutgers","4","8","0.00593892541246429"
"Colorado State","7","6","0.0058359412516144"
"San Jose State","6","7","0.00575333473750617"
"Buffalo","5","7","0.00563063461125696"
"New Mexico","7","6","0.00558309526342157"
"Army","2","10","0.00556550821969946"
"Troy","4","8","0.00556057615375296"
"Nevada","7","6","0.00547263928392096"
"Georgia State","6","7","0.00544031771393434"
"Oregon State","2","10","0.00533102307827108"
"Southern Methodist","2","10","0.0052286400811493"
"Massachusetts","3","9","0.00520700802736816"
"Florida Atlantic","3","9","0.00507821500868517"
"Ball State","3","9","0.00505375230157086"
"Nevada-Las Vegas","3","9","0.00499260104218728"
"Tulane","3","9","0.00479232220644435"
"Wyoming","2","10","0.00467473518622669"
"Florida International","5","7","0.00465391396015287"
"South Alabama","5","7","0.00455720136534647"
