"Team","Wins","Losses","Distribution"
"Georgia","12","0","0.0157948290345769"
"Ohio State","10","2","0.0127697181436345"
"Alabama","11","1","0.0123957210786927"
"Michigan","11","1","0.0116992660284396"
"Oklahoma State","11","1","0.0110815036485169"
"Cincinnati","12","0","0.0109394882837521"
"Notre Dame","11","1","0.0107457146640296"
"Utah","9","3","0.0104498595197763"
"Iowa State","7","5","0.0102026703743165"
"Penn State","7","5","0.00983906008941764"
"Mississippi","10","2","0.00983458720238598"
"Kentucky","9","3","0.00973096674618597"
"Wisconsin","8","4","0.00968564726876968"
"Clemson","9","3","0.00962491831544133"
"Baylor","10","2","0.00962150453096455"
"Texas A&M","8","4","0.00952657108054529"
"North Carolina State","9","3","0.00944107380070277"
"Wake Forest","10","2","0.00942405322540746"
"Boise State","7","5","0.00938000175272885"
"Oregon","10","2","0.00929548625409041"
"Oklahoma","10","2","0.00927622803481851"
"Pittsburgh","10","2","0.00925350633293825"
"Arkansas","8","4","0.00923632923155959"
"UCLA","8","4","0.00920326841381601"
"Auburn","6","6","0.00910773013801786"
"Tennessee","7","5","0.00909352746093345"
"Purdue","8","4","0.00906270721994652"
"Iowa","10","2","0.00899263749825054"
"Michigan State","10","2","0.00893757796641233"
"Nevada","8","4","0.00889907076950729"
"Air Force","9","3","0.0088499557521779"
"Florida","6","6","0.00882505710363092"
"Minnesota","8","4","0.0087628158716157"
"Mississippi State","7","5","0.00873322054582517"
"Kansas State","7","5","0.00873010913960729"
"Nebraska","3","9","0.00871600702025285"
"Brigham Young","10","2","0.00869569464321137"
"Louisiana State","6","6","0.00861333042705971"
"Arizona State","8","4","0.00859453055538142"
"Fresno State","9","3","0.0085597993205527"
"San Diego State","11","1","0.00852153236728989"
"Oregon State","7","5","0.00850765578147785"
"Houston","11","1","0.0084450304615374"
"Appalachian State","10","2","0.00838115916235099"
"Texas","5","7","0.00837950286367651"
"Western Kentucky","8","4","0.0083359191003161"
"Washington State","7","5","0.00826772522932464"
"North Carolina","6","6","0.00802429394960543"
"Louisville","6","6","0.0079781035632438"
"Southern Methodist","8","4","0.00784625551686177"
"Texas-San Antonio","11","1","0.00780609810955597"
"Louisiana","11","1","0.00765961436996717"
"Miami (FL)","7","5","0.00763730785844356"
"Florida State","5","7","0.00761327149918751"
"Coastal Carolina","10","2","0.00758001448991286"
"West Virginia","6","6","0.00754090525917767"
"Toledo","7","5","0.00748010386757673"
"Army","8","3","0.00742074860022161"
"Marshall","7","5","0.007414823612271"
"Alabama-Birmingham","8","4","0.00740338625170251"
